ts_code,entry_date,entry_price,shares,exit_date,exit_price,exit_reason,fill_scenario,gross_pnl,fees,ret_pct
600218.SH,20210406,9.71,34300,20210407,9.99,规则卖出,base,9092.415499999963,511.5845,0.027293382627566472
603095.SH,20210407,26.0,12900,20210408,25.974,规则卖出,base,-838.0807500000461,502.68075,-0.0024981254686329796
002774.SZ,20210407,7.03,47800,20210408,7.01298,规则卖出,base,-1316.5900549999824,503.0340550000001,-0.003917047054025915
002913.SZ,20210407,65.65,5100,20210408,65.59434,规则卖出,base,-785.7336674999818,501.86766750000004,-0.0023461830658100358
002654.SZ,20210409,3.82,87700,20210412,3.8161799999999997,规则卖出,base,-837.1162325000125,502.1022325,-0.0024981254686328794
002264.SZ,20210412,4.64,72200,20210413,4.68531,规则卖出,base,2764.780772500068,506.6012275000001,0.008250817144851921
600787.SH,20210412,5.53,60500,20210413,5.57442,规则卖出,base,2182.2032374999694,505.20676249999997,0.006520878821885757
605218.SH,20210414,16.29,20600,20210415,15.97401,规则卖出,base,-7004.618257500051,495.22425749999996,-0.020868325736245648
603139.SH,20210414,18.01,18600,20210415,18.86112,规则卖出,base,15308.564459999974,522.2675399999999,0.04568769523332652
600843.SH,20210414,6.18,54400,20210415,6.293699999999999,规则卖出,base,5673.26039999998,512.0196,0.016870842968869374
002229.SZ,20210419,7.1,48000,20210420,7.08291,规则卖出,base,-1330.494600000023,510.17459999999994,-0.0039030576862827218
603955.SH,20210419,15.4,22100,20210420,16.04394,规则卖出,base,13702.775157499964,528.2988425,0.04025195486842564
002273.SZ,20210419,12.55,27200,20210420,12.7872,规则卖出,base,5931.735200000021,520.1048000000001,0.017372429800916366
603093.SH,20210421,17.33,20000,20210422,17.69229,规则卖出,base,6716.842750000034,528.95725,0.019374391110820205
002728.SZ,20210421,12.5,27800,20210422,13.07691,规则卖出,base,15496.80037750001,541.2976225,0.04458396300924772
603998.SH,20210421,6.13,56600,20210422,6.473520000000001,规则卖出,base,18898.490959999992,544.7410400000001,0.054455488901021046
