ts_code,entry_date,entry_price,shares,exit_date,exit_price,exit_reason,fill_scenario,gross_pnl,fees,ret_pct
000591.SZ,20210104,8.0,41600,20210106,8.17182,规则卖出,base,6639.5773600000075,508.13464000000005,0.019945666708322943
601375.SH,20210104,7.72,43100,20210106,7.092899999999999,规则卖出,base,-27493.322987500036,465.31298749999996,-0.0826083796408412
605008.SH,20210106,31.8,10200,20210108,30.978990000000003,规则卖出,base,-8850.374122499987,476.0721225000001,-0.02727883241453783
002342.SZ,20210113,6.39,50600,20210115,5.3946000000000005,规则卖出,base,-50789.28194999997,422.04195000000004,-0.15704066941011216
600379.SH,20210113,7.29,44300,20210118,7.54245,规则卖出,base,10685.13508124997,498.39991875,0.03307807307432392
603863.SH,20210119,12.3,25200,20210121,10.74924,规则卖出,base,-39495.243060000015,416.09106,-0.12738860406849511
000020.SZ,20210119,10.85,28500,20210122,13.54644,规则卖出,base,76288.64182500003,559.898175,0.24664750402261193
600844.SH,20210118,4.58,67600,20210126,4.305689999999999,规则卖出,base,-18984.588805000003,441.2328049999999,-0.06130282112877895
600847.SH,20210122,11.0,30200,20210127,9.630360000000001,规则卖出,base,-41809.72408999999,446.59609000000006,-0.1258256299561473
300846.SZ,20210127,27.72,10800,20210129,25.48449,规则卖出,base,-24562.39261499998,418.88461500000005,-0.08202479006871652
603178.SH,20210127,9.67,31200,20210202,7.82217,规则卖出,base,-58032.78663000001,380.49063,-0.1923019981819437
600576.SH,20210127,3.87,78000,20210203,4.275720000000001,规则卖出,base,31153.812300000016,492.34770000000015,0.10318036769877302
002612.SZ,20210205,26.64,10600,20210209,22.917060000000003,规则卖出,base,-39837.411044999964,374.24704500000007,-0.14104005248687815
000908.SZ,20210205,4.13,68900,20210210,4.15584,规则卖出,base,1351.3150300000636,429.06097000000005,0.004747650859682397
002366.SZ,20210222,2.77,98200,20210224,2.6773200000000004,规则卖出,base,-9497.820529999977,396.64453000000003,-0.03490793366640281
002168.SZ,20210222,3.84,70800,20210224,3.4965,规则卖出,base,-24697.208250000003,377.40825,-0.09081860394276432
002998.SZ,20210222,12.53,21700,20210225,12.07791,规则卖出,base,-10205.941558750008,395.58855875,-0.037526124255049594
600714.SH,20210224,6.51,41400,20210303,7.4225699999999994,规则卖出,base,37328.90150249999,451.49649750000003,0.13846988137758184
603399.SH,20210225,6.09,42200,20210311,6.553439999999999,规则卖出,base,19147.22453999994,409.94345999999996,0.07448477782032302
002836.SZ,20210309,10.9,24500,20210311,11.85813,规则卖出,base,23044.267268750013,429.91773125,0.08627038997131456
603655.SH,20210308,27.21,9800,20210312,22.51746,规则卖出,base,-46329.395384999996,342.503385,-0.17369745490859917
300812.SZ,20210317,42.67,6200,20210319,41.03892,规则卖出,base,-10496.886130000026,384.19012999999995,-0.039667752384613106
603090.SH,20210317,14.69,18200,20210319,13.25673,规则卖出,base,-26453.944107500018,368.43010749999996,-0.09892104322455812
000993.SZ,20210317,8.82,30400,20210319,7.65234,规则卖出,base,-35854.68491999999,357.82092,-0.1336888481961142
600505.SH,20210319,8.22,29600,20210324,7.932060000000001,规则卖出,base,-8877.338219999996,354.31422000000003,-0.03647629151106382
300881.SZ,20210322,47.16,5100,20210324,38.2617,规则卖出,base,-45685.3773375,304.0473374999999,-0.18989987712995418
600396.SH,20210322,2.98,81900,20210324,2.91708,规则卖出,base,-5512.799565000015,359.651565,-0.022582055828324857
002316.SZ,20210324,4.44,50400,20210329,4.255739999999999,规则卖出,base,-9610.759620000066,324.05562000000003,-0.04293739065233721
002235.SZ,20210325,5.58,40100,20210329,5.15484,规则卖出,base,-17363.241854999993,314.32585500000005,-0.07757891172368195
000711.SZ,20210325,2.89,77500,20210329,2.72727,规则卖出,base,-12931.773031249997,320.19803125,-0.05772314274372582
002060.SZ,20210329,4.09,51500,20210331,4.03596,规则卖出,base,-3095.533675000011,312.47367499999996,-0.014692524912781637
600956.SH,20210329,15.13,13900,20210401,14.085899999999999,规则卖出,base,-14810.30926250002,297.3192625,-0.07040473027810473
605169.SH,20210329,24.18,8700,20210401,23.85612,规则卖出,base,-3129.7828049999857,312.02680499999997,-0.014874079246937576
002992.SZ,20210401,29.54,6800,20210407,27.972,规则卖出,base,-10950.379999999983,287.98,-0.054500592861263276
003026.SZ,20210402,80.99,2500,20210408,88.44147,规则卖出,base,18301.67665624999,326.99834375,0.0903672175856517
603112.SH,20210402,14.16,14300,20210409,14.985,规则卖出,base,11479.021125000003,318.478875,0.0566757145459398
002806.SZ,20210409,10.62,19700,20210413,9.720270000000001,规则卖出,base,-18016.34614874995,291.66514875,-0.08609291533048918
003033.SZ,20210408,40.84,5300,20210416,42.1578,规则卖出,base,6650.931574999978,333.408425,0.03071937084289152
605055.SH,20210413,15.46,14100,20210419,12.86712,规则卖出,base,-36840.887490000016,281.27949,-0.16896350944605382
603390.SH,20210419,11.72,16500,20210421,10.65933,规则卖出,base,-17769.24868125,268.19368125000005,-0.09186476098552153
600733.SH,20210419,13.76,14000,20210422,14.92506,规则卖出,base,16001.491450000005,309.34855000000005,0.08304345970193501
600960.SH,20210419,4.87,39800,20210422,4.62537,规则卖出,base,-10014.842657500005,278.56865750000003,-0.05165632873095897
002728.SZ,20210422,13.75,13800,20210426,13.87611,规则卖出,base,1453.517602500011,286.80039750000003,0.007658257253868409
300061.SZ,20210422,7.07,26800,20210426,6.41358,规则卖出,base,-17854.27993000001,262.22393,-0.09420621860093681
002997.SZ,20210423,23.07,8200,20210428,23.48649,规则卖出,base,3127.1879774999975,288.0300225,0.016526617695381083
000908.SZ,20210427,6.05,31500,20210430,5.894100000000001,规则卖出,base,-5190.573937499966,279.72393750000003,-0.02722957690329466
603168.SH,20210428,8.62,21500,20210430,7.722270000000001,规则卖出,base,-19555.06350624996,253.86850625000005,-0.10548845822187125
600751.SH,20210506,2.37,74800,20210510,2.36763,规则卖出,base,-442.96840499997467,265.69240500000006,-0.002498125468632699
600172.SH,20210506,5.23,33900,20210510,5.2347600000000005,规则卖出,base,-104.78320499998006,266.14720500000004,-0.0005908561100641497
603020.SH,20210506,11.99,14700,20210514,19.380599999999998,规则卖出,base,108241.63822499994,400.1817749999999,0.6139730079990424
000722.SZ,20210511,8.81,21500,20210514,8.65134,规则卖出,base,-3691.048512500003,279.8585125,-0.019481698814796885
603389.SH,20210514,5.12,41400,20210518,4.52547,规则卖出,base,-24900.727072499983,287.1850725,-0.11744463054158327
000929.SZ,20210514,10.64,19900,20210518,9.84015,规则卖出,base,-16214.722731250009,297.70773125,-0.07656076464906333
