ts_code,entry_date,entry_price,shares,exit_date,exit_price,exit_reason,fill_scenario,gross_pnl,fees,ret_pct
605162.SH,20250708,10.33,32200,20250711,9.54045,规则卖出,base,-25890.66961250002,467.15961250000004,-0.07781772490081745
002393.SZ,20250717,26.27,12300,20250721,27.4725,规则卖出,base,14287.58006249998,503.16993749999995,0.04420637798296898
600829.SH,20250721,10.16,32400,20250723,9.260729999999999,规则卖出,base,-29593.703565000058,457.35556499999996,-0.08987771880848704
002265.SZ,20250721,36.98,8900,20250723,39.44052,规则卖出,base,21377.571714999962,521.056285,0.06493710131147569
300528.SZ,20250730,25.32,12900,20250801,23.976,规则卖出,base,-17805.870000000046,468.2699999999999,-0.0545005928612635
002644.SZ,20250730,11.76,27700,20250801,10.139850000000001,规则卖出,base,-45310.68530624998,432.53030625,-0.13906088210090328
600579.SH,20250731,11.13,29300,20250804,9.290700000000001,规则卖出,base,-54313.2891375,421.7991375,-0.16650786764225387
002052.SZ,20250813,13.16,21800,20250815,13.6863,规则卖出,base,11028.66632499995,444.6736749999999,0.03843280251365712
605298.SH,20250813,23.82,12000,20250815,22.5774,规则卖出,base,-15321.321000000033,410.12100000000004,-0.0535876421322882
600053.SH,20250813,21.64,13200,20250815,18.981,规则卖出,base,-35483.398499999996,384.59850000000006,-0.12418966653900294
002217.SZ,20250826,3.72,73700,20250828,3.77622,规则卖出,base,3726.98873249997,416.42526749999996,0.013590614443163292
002256.SZ,20250901,3.54,77800,20250904,3.34665,规则卖出,base,-15436.944712499997,394.3147125,-0.056036361672293776
603032.SH,20250902,24.88,11000,20250904,25.914060000000003,规则卖出,base,10949.921675000032,424.7383250000001,0.03999994474853967
605288.SH,20250902,95.48,2800,20250904,95.904,规则卖出,base,784.7000000000219,402.5,0.002934436060025712
002759.SZ,20250930,19.72,13900,20251013,20.829150000000002,规则卖出,base,14986.751518750041,430.43348125000006,0.05466095760542638
002767.SZ,20251021,25.03,11100,20251023,20.979,规则卖出,base,-45326.64187500001,360.541875,-0.1631027021510703
600262.SH,20251022,29.9,9300,20251024,30.07989,规则卖出,base,1253.780778750037,419.19622124999995,0.004507740539781575
002490.SZ,20251023,9.36,28200,20251027,8.01198,规则卖出,base,-38362.57429500001,348.41029499999996,-0.14530288101051664
002213.SZ,20251028,28.14,8900,20251030,27.74223,规则卖出,base,-3911.396808750026,371.2438087499999,-0.015613821757780276
603378.SH,20251028,8.27,30400,20251103,8.211780000000001,规则卖出,base,-2144.7876399999814,374.89964,-0.008528971142945749
001203.SZ,20251031,19.5,13700,20251104,20.13984,规则卖出,base,8354.125740000023,411.68226000000004,0.03126347643858275
002885.SZ,20251105,32.25,7800,20251107,34.095870000000005,规则卖出,base,14002.463767500023,395.3222325,0.0556508210156764
002255.SZ,20251105,11.88,21200,20251111,14.4855,规则卖出,base,54789.77024999995,446.82975,0.21748966167549
001209.SZ,20251107,26.36,10000,20251112,23.48649,规则卖出,base,-29094.581125000004,359.481125,-0.11034639339027155
600113.SH,20251112,58.6,4500,20251114,59.77017,规则卖出,base,4863.63279375002,402.13220625,0.018439200566752585
600408.SH,20251113,5.69,46700,20251120,5.30469,规则卖出,base,-18370.069028750004,376.09202875,-0.06911512236176458
603122.SH,20251113,22.1,12000,20251120,23.7762,规则卖出,base,19691.456999999984,422.943,0.07423278795685688
003041.SZ,20251114,41.02,6500,20251121,54.87507,规则卖出,base,89545.43755624999,512.5174437500001,0.335757629644271
002213.SZ,20251120,36.64,8100,20251124,32.24772,规则卖出,base,-35978.172165,400.7041650000001,-0.12119649263448332
600734.SH,20251124,5.08,56200,20251201,4.92507,规则卖出,base,-9124.42616750002,417.3601675,-0.03195192097644887
000547.SZ,20251202,16.35,17200,20251204,16.983,规则卖出,base,10452.160500000049,435.43950000000007,0.03715791235677337
002413.SZ,20251202,9.27,30400,20251204,8.47152,规则卖出,base,-24666.161760000028,392.36976000000004,-0.08750637583322626
002565.SZ,20251202,9.71,29100,20251205,10.989,规则卖出,base,36748.53487500001,470.365125,0.1300227208903233
603709.SH,20251212,23.84,12100,20251217,18.16182,规则卖出,base,-69052.79152749998,346.81352749999996,-0.23932113762666712
001336.SZ,20251223,31.85,8300,20251225,26.23374,规则卖出,base,-46953.2218025,338.2638025,-0.1775698830394442
002596.SZ,20251223,6.48,41200,20251225,6.20379,规则卖出,base,-11766.091185000021,386.239185,-0.044060703574106554
000566.SZ,20251223,8.76,30500,20251225,8.541450000000001,规则卖出,base,-7058.212781249969,392.4377812500001,-0.026410841638905228
002363.SZ,20251226,11.34,21600,20251230,9.46053,规则卖出,base,-40913.222310000005,316.67031,-0.16698917532521634
600783.SH,20251226,21.1,11600,20251231,23.63634,规则卖出,base,29017.627069999962,403.91693,0.11852579864512527
603278.SH,20251226,12.8,19100,20260107,15.71427,规则卖出,base,55226.25880375003,436.29819625000005,0.22583628799831307
001231.SZ,20260106,30.17,8600,20260108,26.40357,规则卖出,base,-32740.00187750005,348.70387750000003,-0.12615265018680713
002774.SZ,20260107,12.35,21000,20260113,13.146840000000001,规则卖出,base,16323.697950000025,409.9420500000001,0.06292507439941644
600676.SH,20260113,8.22,38500,20260115,8.98101,规则卖出,base,28787.556393750005,511.32860625,0.09094183114805242
