as_of,participant,composite,weight
2023-04-10,davis_balanced,,0.25
2023-04-10,davis_momentum_tilt,,0.25
2023-04-10,davis_valuation_tilt,,0.25
2023-04-10,benchmark_sse,,0.25
2023-07-13,davis_balanced,1.2757709883716952,0.314208
2023-07-13,davis_momentum_tilt,1.2910209450441061,0.323939
2023-07-13,davis_valuation_tilt,1.2739768758219996,0.313083
2023-07-13,benchmark_sse,-0.0066449829278080325,0.04877
2023-10-18,davis_balanced,-3.7923605074788727,0.076923
2023-10-18,davis_momentum_tilt,-3.441064935263706,0.076923
2023-10-18,davis_valuation_tilt,-3.845308435766328,0.076923
2023-10-18,benchmark_sse,-1.5611420341008753,0.769231
2024-01-16,davis_balanced,-1.4775658009651862,0.24488
2024-01-16,davis_momentum_tilt,-1.4861929588479192,0.240691
2024-01-16,davis_valuation_tilt,-1.5038539971795182,0.232338
2024-01-16,benchmark_sse,-1.4068331765912494,0.282092
2024-04-24,davis_balanced,-2.270082137154265,0.084748
2024-04-24,davis_momentum_tilt,-2.194307937439214,0.098615
2024-04-24,davis_valuation_tilt,-1.9901107945091887,0.148357
2024-04-24,benchmark_sse,-1.0336273426595797,0.668281
2024-07-26,davis_balanced,-3.335650734018121,0.084639
2024-07-26,davis_momentum_tilt,-3.2423308211834763,0.102006
2024-07-26,davis_valuation_tilt,-2.9149303012524097,0.196337
2024-07-26,benchmark_sse,-2.1816108539799006,0.617017
2024-11-01,davis_balanced,-0.5088204599501763,0.178912
2024-11-01,davis_momentum_tilt,-0.6550688147772448,0.13354
2024-11-01,davis_valuation_tilt,-0.3247398108016105,0.258542
2024-11-01,benchmark_sse,-0.07153358904738288,0.429006
2025-02-07,davis_balanced,-0.9493898566800897,0.149813
2025-02-07,davis_momentum_tilt,-1.3528727291279203,0.066848
2025-02-07,davis_valuation_tilt,-0.376372756312386,0.471265
2025-02-07,benchmark_sse,-0.5824608250098117,0.312075
2025-05-13,davis_balanced,-0.600895626039267,0.352859
2025-05-13,davis_momentum_tilt,-1.3913136350108914,0.072619
2025-05-13,davis_valuation_tilt,-0.847295715245335,0.215566
2025-05-13,benchmark_sse,-0.5923294066658702,0.358956
2025-08-11,davis_balanced,0.12359376592898452,0.076923
2025-08-11,davis_momentum_tilt,0.10498330572371922,0.076923
2025-08-11,davis_valuation_tilt,-0.014146953476546903,0.076923
2025-08-11,benchmark_sse,1.7316665247922607,0.769231
2025-11-14,davis_balanced,-0.07890353544371843,0.076923
2025-11-14,davis_momentum_tilt,0.014774097341898607,0.076923
2025-11-14,davis_valuation_tilt,-0.029307663456299454,0.076923
2025-11-14,benchmark_sse,2.2201019476157566,0.769231
2026-02-13,davis_balanced,0.9875348221893292,0.120955
2026-02-13,davis_momentum_tilt,1.0295986755387587,0.131571
2026-02-13,davis_valuation_tilt,1.045489094202058,0.13582
2026-02-13,benchmark_sse,1.9535171572875252,0.611654
2026-05-27,davis_balanced,0.31673858531233434,0.260305
2026-05-27,davis_momentum_tilt,0.3895521493860228,0.301112
2026-05-27,davis_valuation_tilt,0.40288233679878926,0.309248
2026-05-27,benchmark_sse,-0.032986220563812285,0.129335
