ts_code,t0,plan_amount_yi,exp_date,impl_first,impl_last,total_vol_wan,total_amt_yi,n_progress,stopped,outcome,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60
000026.SZ,20210205,0.01,,,,0.0,0.0,0,False,未实施,20210205,0,0.09973285841495971,0.06072874493927127,0.04988443531416431,0.13036437246963573,0.06925067920436567,0.16842105263157903,0.1830573541303231,0.3182186234817814,0.3438934620551348
000026.SZ,20210205,0.0,,,,0.0,0.0,0,False,未实施,20210205,0,0.09973285841495971,0.06072874493927127,0.04988443531416431,0.13036437246963573,0.06925067920436567,0.16842105263157903,0.1830573541303231,0.3182186234817814,0.3438934620551348
000026.SZ,20210413,0.01,,,,0.0,0.0,0,False,未实施,20210413,0,-0.029490616621983823,0.05455801104972369,0.04830755514674556,0.14848066298342544,0.12319161424785818,0.11118784530386727,0.08129209136230808,0.037508069722401505,-0.006756559513642624
000026.SZ,20210615,0.0,,,,0.0,0.0,0,False,未实施,20210615,0,-0.03983794733288315,-0.016877637130801704,-0.006195131551728239,-0.052742616033755296,-0.05296975040799223,0.00421940928270037,0.0014140042742114556,-0.09423347398030946,-0.12380356007007565
000026.SZ,20220310,0.0,,,,0.0,0.0,0,False,未实施,20220310,0,-0.00778967867575453,-0.01177625122669268,-0.015853210100199577,-0.06967615309126585,-0.04622372248039719,-0.06182531894013732,-0.02362256944730201,0.027136269246939904,0.030656569658095822
000026.SZ,20220310,0.02,,,,0.0,0.0,0,False,未实施,20220310,0,-0.00778967867575453,-0.01177625122669268,-0.015853210100199577,-0.06967615309126585,-0.04622372248039719,-0.06182531894013732,-0.02362256944730201,0.027136269246939904,0.030656569658095822
000026.SZ,20220423,0.01,,,,0.0,0.0,0,False,未实施,20220422,1,0.027083333333333348,-0.10040567951318458,-0.051745302825436545,-0.0963488843813387,-0.08452873519433768,-0.09026369168356996,-0.09627835505718696,0.01660616791790237,-0.040898517933057876
000026.SZ,20230318,0.17,,,,0.0,0.0,0,False,未实施,20230317,1,0.0,-0.043889845094664315,-0.039268557280577765,-0.016351118760757233,-0.020901715231870566,-0.011187607573149627,-0.050634703454864316,0.049855666128223675,0.049071705501352536
000026.SZ,20230318,0.01,,,,0.0,0.0,0,False,未实施,20230317,1,0.0,-0.043889845094664315,-0.039268557280577765,-0.016351118760757233,-0.020901715231870566,-0.011187607573149627,-0.050634703454864316,0.049855666128223675,0.049071705501352536
000034.SZ,20210806,0.01,,,,0.0,0.0,0,False,未实施,20210806,0,0.010404624277456698,0.0011441647597252302,-0.009285753617103043,-0.0240274599542335,-0.04014551424350499,-0.06178489702517176,-0.09413677974952483,-0.10812356979405047,-0.12052746140155068
000045.SZ,20210116,0.0,,,,0.0,0.0,0,False,未实施,20210115,1,0.01017441860465107,0.02446043165467615,0.015958195379129236,0.020143884892086295,0.008725003777609652,0.037410071942445944,0.0009816247724514504,0.18561151079136695,0.21589636248374156
000056.SZ,20250426,,,,,0.0,0.0,0,False,未实施,20250425,1,0.019933554817275656,0.009771986970684043,0.011812556180223366,0.05863192182410426,0.04355524588022086,0.022801302931596323,0.009059993480042383,0.019543973941368087,-0.06829921956229013
000056.SZ,20250426,,,,,0.0,0.0,0,False,未实施,20250425,1,0.019933554817275656,0.009771986970684043,0.011812556180223366,0.05863192182410426,0.04355524588022086,0.022801302931596323,0.009059993480042383,0.019543973941368087,-0.06829921956229013
000056.SZ,20260424,,,,,0.0,0.0,0,False,未实施,20260423,1,-0.025252525252525304,0.051813471502590636,0.053591030684426055,-0.07253886010362687,-0.08745867903858362,-0.24352331606217614,-0.2436113681416423,-0.010362694300518172,0.05703435143640867
000056.SZ,20260424,,,,,0.0,0.0,0,False,未实施,20260423,1,-0.025252525252525304,0.051813471502590636,0.053591030684426055,-0.07253886010362687,-0.08745867903858362,-0.24352331606217614,-0.2436113681416423,-0.010362694300518172,0.05703435143640867
000100.SZ,20210621,7.0,20220620,,,0.0,0.0,0,False,未实施,20210621,0,-0.007894736842105177,0.027851458885941538,0.019695071609608483,0.03580901856763896,0.013638904285028675,0.09416445623342162,0.09109141050569836,-0.05437665782493384,-0.1017649979900831
000333.SZ,20210106,0.61,,,,0.0,0.0,0,False,未实施,20210106,0,-0.005712034666141452,0.038232963549920784,0.030879843799027196,0.023573692551505543,0.009984899237571065,-0.032884310618066515,-0.023654292535443266,-0.18106180665610128,-0.1649956091186433
000333.SZ,20211227,0.67,,,,0.0,0.0,0,False,未实施,20211227,0,0.012333702882483477,0.029158110882957056,0.025150074249151944,0.031622176591375784,0.026977229826308236,0.038329911019849394,0.09365194698628732,-0.25188227241615324,-0.15567241654857655
000333.SZ,20241228,0.35,,,,0.0,0.0,0,False,未实施,20241227,1,-0.007370360621216099,-0.0013259082471493988,-0.0034314816552414307,-0.0005303632988598039,0.05968833720359212,-0.020418987006099232,0.02464585843567546,-0.00039777247414485295,0.01503819414156049
000333.SZ,20250329,100.0,20260530,,,0.0,0.0,0,False,未实施,20250328,1,0.0048366013071896585,0.021204631195524737,0.025968349965310278,-0.1260569793157279,-0.0541646648218308,-0.0473526733446078,-0.029132954605136208,-0.014270649815513181,-0.03526204201583638
000338.SZ,20241231,,,,,0.0,0.0,0,False,未实施,20241231,0,-0.014388489208633226,-0.0131386861313868,0.013843278979056128,0.07372262773722649,0.1141413967714835,0.023357664233576658,0.04873419554005709,0.14160583941605864,0.14493817986675706
000403.SZ,20220702,0.8,20230720,,,0.0,0.0,0,False,未实施,20220701,1,-0.005919854280510228,0.06367384333486048,0.058117382680863194,0.013284470911589574,0.02281307935437793,-0.11758070103532314,-0.08112583597088252,-0.20899217448351204,-0.12178002733604587
000403.SZ,20220702,,,,,0.0,0.0,0,False,未实施,20220701,1,-0.005919854280510228,0.06367384333486048,0.058117382680863194,0.013284470911589574,0.02281307935437793,-0.11758070103532314,-0.08112583597088252,-0.20899217448351204,-0.12178002733604587
000411.SZ,20241116,0.01,,,,0.0,0.0,0,False,未实施,20241115,1,-0.019534883720930152,-0.003795066413662229,-0.0017337214198720474,-0.000948766603415474,0.01847905648430359,0.11480075901328268,0.09470210554892633,0.00189753320683117,0.0037767782399853456
000425.SZ,20250429,6.0,20260527,,,0.0,0.0,0,False,未实施,20250429,0,0.0033482142857141906,-0.020022246941045485,-0.017743902670639966,-0.008898776418242549,-0.02531159008734085,-0.08342602892102335,-0.10008254800495298,-0.02369388325755739,-0.10816079490974151
000488.SZ,20240801,0.46,,,,0.0,0.0,0,False,未实施,20240801,0,-0.002808988764045006,0.0,0.009310312485210304,0.03943661971830981,0.06206803304447206,-0.00845070422535199,0.029931700738003553,0.03661971830985933,-0.08169787994616617
000503.SZ,20240412,0.03,,,,0.0,0.0,0,False,未实施,20240412,0,-0.015367727771679385,-0.06911928651059085,-0.08065995968493933,-0.10367892976588633,-0.11706777365335452,-0.09141583054626523,-0.12066284958586948,-0.26086956521739124,-0.24865532325192152
000503.SZ,20250221,0.01,,,,0.0,0.0,0,False,未实施,20250221,0,0.010509296685529579,-0.027200000000000002,-0.025444994330909076,-0.0968,-0.0809668576742798,-0.030400000000000094,-0.026284510873013756,-0.18799999999999994,-0.1882584081923242
000503.SZ,20250606,0.1,,,,0.0,0.0,0,False,未实施,20250606,0,-0.005785920925747257,0.0,-0.0042396083313361865,-0.02424830261881672,-0.021832209108983758,0.008729388942773753,-0.01653338615309563,0.028128031037827128,-0.09781056219840911
000516.SZ,20230419,,,,,0.0,0.0,0,False,未实施,20230419,0,-0.06341045415595548,-0.024702653247941297,-0.02380548643477709,0.008234217749313766,0.040984665198531056,-0.11161939615736494,-0.09176877767016167,-0.20585544373284537,-0.1633302830464508
000516.SZ,20240426,1.5,20250520,,,0.0,0.0,0,False,未实施,20240426,0,-0.017857142857142905,0.043636363636363695,0.035453838400139936,0.11636363636363645,0.10214570714330495,0.005454545454545601,-0.001779095104385786,-0.19090909090909092,-0.13432256411047105
000525.SZ,20260121,0.0,,,,0.0,0.0,0,False,未实施,20260121,0,-0.03231017770597755,0.01836393989983298,0.01697172804848668,-0.018363939899833093,-0.026474281654310317,0.12186978297161932,0.11383686489670586,-0.058430717863105164,-0.0498826293895146
000526.SZ,20240203,0.02,,,,0.0,0.0,0,False,未实施,20240202,1,0.08129330254041589,0.09995728321230235,0.11134159085208228,0.21507902605724039,0.1397698963314855,0.32400683468603164,0.17803240931308273,0.34963690730457064,0.17048591889862363
000526.SZ,20240620,0.01,,,,0.0,0.0,0,False,未实施,20240620,0,0.040926395939086424,-0.020725388601036343,-0.018341268204056904,-0.04937519049070416,-0.030147307938880985,-0.20557756781469072,-0.1980250223663218,-0.23956110941786057,-0.1588709757203769
000526.SZ,20260617,1.0,20260916,,,0.0,0.0,0,False,未实施,20260617,0,0.011443337024732214,-0.019343065693430583,-0.015124843086366968,-0.07299270072992703,-0.07573852534274861,0.0036496350364962904,0.061986348084723586,,
