ts_code,t0,final_stage,terminate_date,apply_date,list_date,raise_plan_yi,raise_act_yi,price_ratio,purpose,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60,suspended
603988.SH,20210327,终止,20220226,,,30.0,,80.0,募集配套资金用于标的资产项目建设及补充流动资金和偿还债务,20210312,15,0.04785894206549113,0.10016025641025661,0.10585494496181047,0.6105769230769231,0.5961024531024515,0.23798076923076938,0.24226614923919554,0.24018899723125076,0.1870812497583807,True
002890.SZ,20210313,终止,20210712,,,10.0,,80.0,募集配套资金用于拟置入资产建设项目、补充流动资金,20210226,15,0.04945598417408492,0.0999057492931199,0.1285728365655292,0.1757775683317626,0.21183727583544631,0.12818096135721024,0.15995850131302736,0.22331246353395273,0.18883118639157837,True
300670.SZ,20210522,终止,20220124,,,,,80.0,募集配套资金用于1、支付本次交易中的现金对价、交易税费等并购整合费用、中介机构费用;2、补充上市公司和标的公司(目标公司,20210507,15,0.01734104046242768,0.10795454545454541,0.08311454184145406,0.01278409090909105,-0.038381387871726846,0.07045580064265633,0.03699752231917408,0.6422253648413443,0.5962500821199361,True
603693.SH,20210130,实施完成,,,20211124,7.5,7.5,90.0,购买大唐滨海40.00%股权,20210119,11,-0.018440905280804554,0.030742954739538808,0.04870901229336577,-0.15115286080273282,-0.13414633695883338,-0.04611443210930832,-0.02857433837375789,0.038428693424423344,0.07617804403950013,True
000016.SZ,20210911,终止,20220307,,,,,80.0,募集配套资金将用于支付现金对价、标的公司在建项目、补充上市公司及/或标的公司流动资金、偿还债务。,20210830,12,0.022911051212938016,0.013175230566535134,-0.03787962096460762,-0.0487483530961792,-0.0713362104329276,-0.2002635046113307,-0.2147311733431112,-0.1488801054018445,-0.17988285442944896,True
600859.SH,20210130,实施完成,,20211130,20211216,40.0,37.43,80.0,募集配套资金用于1、免税业务项目及其他项目建设;2、补充流动资金;3、偿还债务;4、支付本次交易的中介机构费用。,20210115,15,0.0028248587570622874,0.10015649452269182,0.1193313141885437,0.0062597809076681,0.02641900708653111,-0.05633802816901401,-0.03898689648300091,0.0028169014084507005,0.039270629691350534,True
603023.SH,20211218,终止,20220618,,,1.89,,80.0,募集配套资金拟用于支付本次交易现金对价和中介机构费用,20211203,15,0.09930715935334855,0.10084033613445409,0.10507701914067158,0.13025210084033634,0.12693408836797926,0.014705882352941124,0.03354824354679731,-0.10084033613445353,-0.0030820972137078906,True
600796.SH,20210116,实施完成,,,20211223,21.03,21.03,90.0,用于购买浙江海云环保有限公司100%股权、海宁首创水务有限责任公司40%股权、海宁实康水务有限公司40%股权、海宁绿动海,20201231,16,0.040169133192388795,0.09956768145716977,,0.006073941444175723,,-0.09148474378677485,,-0.0040884216007149865,,True
688178.SH,20210313,终止,20211108,,,0.12,,80.0,购买时代桃源81.45%股权,20210226,15,0.037359448676097085,0.0006993006993007977,0.026780748318810277,0.021328671328671334,0.05265161381811856,-0.02692307692307694,0.0004856384003593117,-0.05314685314685319,-0.07983562379458764,True
920239.BJ,20220208,终止,20220718,,,12.0,,80.0,募集配套资金用于1、支付本次交易的中介机构费用、交易税费等并购整合费用、补充上市公司和标的公司流动资金以及标的公司的项目,20220121,18,0.024433427762039717,-0.0011234013135152932,0.009381644907918929,-0.1786208088489457,-0.16517441563380897,-0.3903387487037677,-0.34050460513557246,-0.4672256364654903,-0.38642815108196216,True
688368.SH,20210703,终止,20220318,,,1.94,,80.0,募集配套资金用于支付本次交易现金对价、重组相关费用,20210618,15,0.004464151960931195,0.1999940344807014,0.1968617719592769,0.42128497285688704,0.4216917873607926,0.5212074211060072,0.5784042657028188,0.15990574479508446,0.13507277328847378,True
002564.SZ,20220212,终止,20220621,,,9.6,,80.0,募集配套资金用于1、投入标的公司项目建设；2、补充上市公司流动资金；3、偿还债务等用途。,20220121,22,0.002450980392156854,0.10024449877750619,0.13030598326645082,0.17359413202933993,0.18428886967160807,0.13447432762836176,0.20742256495874756,-0.06845965770171147,0.06391421003314157,True
000885.SZ,20210123,终止,20220722,,,18.0,,80.0,募集配套资金用于1、偿还有息债务;2、补充流动资金;3、支付本次交易费用等。,20210108,15,-0.05831903945111494,-0.061930783242258536,-0.07594133980480189,-0.11202185792349728,-0.08983202330631634,-0.14480874316939885,-0.1299357750311918,-0.07377049180327855,-0.039064156020880425,True
600850.SH,20210320,实施完成,,,20220923,23.36,23.36,90.0,用于购买柏飞电子100.00%股权,20210305,15,0.010464629552113802,0.09983429991714998,0.11853436834710784,0.24979287489643753,0.280380259043727,0.15741507870753946,0.16554872261688258,0.1699938660240372,0.14878064224223175,True
603066.SH,20220603,终止,20221001,,,,,80.0,募集配套资金用于1、支付本次交易的现金对价、支付本次交易相关税费及中介机构费用、补充上市公司流动资金。,20220520,14,0.0038461538461536104,0.039272030651340994,0.010433747571503504,-0.03352490421455934,-0.07420623383602987,-0.07759914671162327,-0.1432387515483715,0.053758461714784156,0.02456546645772817,True
002265.SZ,20211204,实施完成,,20230407,20230523,10.0,10.0,80.0,募集配套资金用于1、本次交易中的现金对价;2、支付本次交易相关税费及中介机构费用;3、补充流动资金等。,20211119,15,0.009708737864077666,0.09975961538461542,0.09089466652331923,0.6117788461538463,0.565190943971478,2.0444711538461537,1.9780557649851565,1.0805288461538463,1.196198509138147,True
600361.SH,20210807,实施完成,,20230808,20230824,15.0,15.0,80.0,募集配套资金用于1、年产80万吨高强高韧铝合金材料项目(二期);2、年产120万吨轻质高强铝合金材料项目(二期)。,20210723,15,-0.005813953488372214,0.09941520467836251,0.11695785344875564,0.6111111111111112,0.6267340324478359,0.801169590643275,0.7854104509841258,0.4678362573099415,0.48599882775728553,True
600372.SH,20220611,实施完成,,20230616,20230717,50.0,50.0,80.0,募集配套资金用于1、航空引气子系统等机载产品产能提升项目;2、液压作动系统产能提升建设项目;3、航空电力系统生产能力提升,20220526,16,0.09283819628647216,0.06359223300970873,0.02032288950748229,-0.07669902912621362,-0.13061354665946845,-0.06601685072414465,-0.13085145047283975,-0.10656109831300253,-0.1243291168309032,True
603318.SH,20220603,实施完成,,20221202,20221220,1.1,1.1,80.0,募集配套资金用于1、偿还有息负债。,20220519,15,0.010479041916167775,0.1007407407407408,0.05332620395078824,0.2607407407407407,0.18863527871925112,0.1511111111111112,0.05234128576869801,0.31012003083360873,0.25374429412445254,True
002060.SZ,20220319,实施完成,,20230602,20230704,20.0,19.08,80.0,募集配套资金用于建工集团募投项目建设或补充流动资金。,20220307,12,0.04981549815498165,0.10017574692442888,0.14047078638478938,0.6115992970123021,0.6921809200004916,0.2583479789103691,0.3288000587087174,0.7428315216980541,0.7730182830219725,True
600970.SH,20220827,终止,20221220,,,30.0,,80.0,募集配套资金用于1.智造产业园建设项目;2.支付购买标的资产的现金对价;3.补充上市公司流动资金。,20220812,15,0.011428571428571344,-0.03860640301318252,-0.027879125034468544,-0.1261770244821092,-0.10138413929410728,-0.15725047080979282,-0.0949226421169127,-0.1177024482109229,-0.06085936434077943,True
600995.SH,20211016,实施完成,,20221021,20221206,93.0,80.02,80.0,募集配套资金用于1、建设抽水蓄能电站和电化学储能电站;2、补充流动资金;3、偿还债务。,20210924,22,-0.020910209102091182,0.10050251256281406,0.11435985747875455,0.6118090452261307,0.6255146271696803,1.537688442211055,1.5907260631221187,1.1319095477386933,1.1435070515961034,True
301016.SZ,20220716,终止,20221209,,,,,80.0,1、购买标的公司80%的股权。,20220701,15,-0.00536193029490617,0.20000000000000018,0.2400966009826475,0.18975741239892185,0.23256842759328133,0.12398921832884091,0.16197689680016336,0.05121293800539073,0.15435810874960243,True
300886.SZ,20220716,终止,20220928,,,,,80.0,募集配套资金用于1、支付本次交易的现金对价、中介机构费用、交易税费等并购整合费用;2、补充上市公司和标的公司流动资金;3,20220701,15,-0.0028957528957528345,-0.10842207163601159,-0.07863103460388976,-0.1652145853501129,-0.13517651986031942,-0.15876089060987408,-0.13032937162028146,-0.24846724749919324,-0.17472674139046263,True
600900.SH,20211211,实施完成,,20230329,20230424,160.97,160.97,80.0,募集配套资金用于支付本次交易现金对价,20211126,15,-0.013137948458817661,0.06810035842293916,0.03415386171549506,0.12186379928315416,0.10077709596952178,0.1469534050179211,0.13756037310123892,0.15207373271889413,0.27378687718078853,True
603045.SH,20211016,监管审批,,,,30.0,,80.0,募集配套资金用于1、锦鑫化工年产120万吨氧化铝项目;2、偿还银行贷款。,20210924,22,-0.05675675675675673,0.10028653295128942,0.11414115828782179,0.6117478510028651,0.6254529125979009,0.2650429799426932,0.29148234455907773,0.237106017191977,0.2438358251341699,True
000670.SZ,20210427,终止,20230731,,,4.0,,80.0,募集配套资金用于1.智能终端SoC系列芯片研发及产业化项目;2.存储器和继电器相关产品线拓展项目;3.补充流动资金;4.,20200319,404,0.051401869158878455,4.884502764590773,,3.444488492893334,,2.475590001442587,,2.6000356792436,,True
600726.SH,20220507,实施完成,,20221223,20230106,26.8,26.8,80.0,募集配套资金用于1、支付本次交易相关交易税费;2、中介机构费用;3、补充上市公司和标的公司流动资金;4、偿还债务等。,20220422,15,0.05747126436781613,-0.050724637681159424,-0.024567577054550926,-0.22463768115942018,-0.22397531533756387,-0.07971014492753603,-0.12220826190667644,-0.13405797101449257,-0.1800223340399818,True
688131.SH,20220305,实施完成,,,20230111,0.5,0.5,80.0,募集配套资金用于1、药源生物科技(启东)有限公司创新药物制剂开发及GMP制剂平台项目(二期)；2、补充上市公司流动资金；,20220218,15,-0.026901565995525734,-0.10213230645439397,-0.0707462906565075,0.0006322202425426138,0.055356963548559124,-0.05143973791597223,0.00867484551049369,-0.034427265934823925,0.041468710724800184,True
002893.SZ,20220212,实施完成,,,20231120,4.26,4.26,80.0,用于补充流动资金,20220128,15,0.04230769230769238,0.09963099630996286,0.07800244468798234,0.16113161131611298,0.11811666058907933,0.11439114391143912,0.13179616810927697,0.05535055350553497,0.15018483151294215,True
000830.SZ,20220430,终止,20240417,,,63.95,,90.0,用于对鲁西集团实施吸收合并,20220415,15,-0.0032858707557503752,0.02692307692307705,0.07495462102975425,-0.017032967032966972,0.031989076018016815,0.0483516483516484,0.057934665861717694,-0.13580682640243769,-0.15458590936097527,True
001979.SZ,20221217,实施完成,,20230914,20231019,85.0,85.0,80.0,募集配套资金用于1、长春公园1872项目;2、长春公园1872项目;3、重庆招商渝天府项目;4、上海虹桥公馆三期项目;5,20221202,15,-0.024683122081387676,-0.04582763337893281,-0.030771123466188044,-0.10670314637482892,-0.07436068652015304,-0.017099863201094245,-0.03885777682124569,-0.06839945280437754,-0.09108278404248482,True
300905.SZ,20220528,实施完成,,20230602,20230630,2.32,2.32,80.0,募集配套资金用于1、支付本次交易的现金对价、补充上市公司流动资金等用途。,20220513,15,0.00522648083623678,0.030741648240004915,0.009539285530793196,0.08396410856220826,0.0330251905211314,0.08219002655146834,-0.01225244329689823,0.14605697893811231,0.0783976823242527,True
603703.SH,20211113,终止,20230707,,,,,80.0,募集配套资金用于1、支付本次交易中发行股份及支付现金购买资产的现金支付部分、中介机构费用、交易税费等相关并购费用;2、补,20211029,15,0.040924092409240886,0.10019023462270149,0.1045599480057493,0.39505389980976546,0.389945520950405,0.4698795180722892,0.4221663680930099,0.3601775523145214,0.4071661821603434,True
000630.SZ,20221224,实施完成,,,20230914,56.72,56.72,90.0,1、购买中铁建铜冠70%的股权。,20221209,15,0.06514657980456029,-0.05504587155963303,-0.01146339951020392,-0.04587155963302736,-0.009521868452436077,0.04892966360856277,0.028919546674692764,-0.003058103975535076,-0.016686392183828724,True
605389.SH,20230211,监管审批,,,,2.05,,80.0,募集配套资金拟用于1、支付并购对价及支付中介机构费用等;2、补充流动资金。,20230120,22,0.0018382352941177516,0.10018348623853202,0.09370260211863268,0.14385321100917436,0.158324938331595,0.11229357798165118,0.12425551240669375,-0.09394495412844028,-0.10619270149949611,True
300197.SZ,20230421,监管审批,,,,3.0,,80.0,1、合理合法使用。,20230407,14,0.14830508474576276,-0.05904059040590415,-0.044035200076957715,-0.03690036900368998,-0.035633604952038045,-0.07380073800738018,-0.03828268397119772,-0.05166051660516613,-0.003790518233903306,True
003031.SZ,20220129,实施完成,,20231025,20231123,25.0,25.0,80.0,募集配套资金用于1、标的公司符合相关行业政策的项目建设、上市公司或标的公司补充流动资金和偿还债务等。,20220114,15,0.02402285417478245,0.10005072279989857,0.1294558171694995,0.3086482373827035,0.33068283438755897,0.31841237636317543,0.34656032528307046,-0.08318539183362927,0.07555348233427939,True
600345.SH,20220813,实施完成,,,20231227,6.5,6.5,80.0,募集配套资金用于1、投入智慧应急指挥产品升级及产业化项目；2、营销网络建设项目；3、下一代智慧应急数字化转型关键技术研究,20220729,15,-0.008264462809917328,0.10034142185099837,0.09266718088011161,0.04063760080645151,0.039091629992666466,-0.0029461885560677636,-0.0056408177261441095,0.013173843125960039,0.06898049556448616,True
603021.SH,20221022,终止,20240305,,,2.42,,80.0,募集配套资金用于1、支付本次交易的现金对价；2、上市公司补充流动资金；3、支付本次交易相关税费及中介机构费用。,20220930,22,0.03860294117647056,0.10088495575221224,0.11820119342528801,0.17168141592920327,0.21526489627730627,0.22831858407079642,0.1994263339208131,0.11681415929203531,0.046502331220690474,True
300052.SZ,20221112,终止,20231110,,,5.5,,80.0,募集配套资金用于1、支付本次交易的现金对价；2、投入标的公司在建项目建设；3、补充上市公司/标的公司流动资金或偿还。,20221031,12,0.0349319123741858,0.20022883295194505,0.1263021794254966,0.20308924485125868,0.12394085073817585,0.12757437070938216,0.017358224061557737,0.24942791762013727,0.10079850692302639,True
688360.SH,20230218,实施完成,,,20231018,5.51,2.76,80.0,1、购买莫安迪100%股权。,20230203,15,0.00036049026676288065,0.048648648648648596,0.04006514680482165,-0.015135135135135092,-0.016266694675897586,-0.021621621621621623,-0.0177509340177211,0.0284684684684684,0.01789033813915486,True
300604.SZ,20220122,实施完成,,20230822,20231013,2.77,2.77,80.0,募集配套资金用于1、转塔式分选机开发及产业化项目;2、支付本次交易相关费用;3、补充流动资金。,20220107,15,0.023662551440329027,-0.09547738693467334,-0.08124834061898989,-0.1336683417085427,-0.07745744681480371,-0.13206030150753767,-0.09983724842495523,-0.434572864321608,-0.2987969252423516,True
920753.BJ,20230725,终止,20240201,,,,,100.0,1、购买乳品监测中心100%股权。,20230714,11,0.0013812154696133394,0.09517241379310337,0.10015834437698401,0.022068965517241246,0.005531721846316673,-0.0027586206896551557,0.03475134951355496,-0.03448275862068961,0.05108844401347934,True
603488.SH,20231118,终止,20240430,,,,,85.0,募集配套资金用于1、支付本次交易中的现金对价、投入标的公司在建项目建设等。,20231103,15,0.10024752475247523,0.10011248593925748,0.08665959551794478,0.2767154105736782,0.27244397898252726,0.1923509561304837,0.22810697670579239,-0.1484814398200225,-0.11699667191286167,True
000045.SZ,20221231,终止,20240517,,,,,80.0,募集配套资金用于1、支付本次交易现金对价、中介机构费用等并购相关费用;2、补充上市公司和标的公司流动资金;3、偿还债务。,20221216,15,-0.013345195729537407,0.10009017132551845,0.11821456863965296,-0.026149684400360584,-0.028672214629454684,0.07754733994589724,0.05397809274066678,-0.021641118124436365,-0.059790868731485425,True
920856.BJ,20231027,终止,20231215,,,,,100.0,1、购买其持有的威艾尔100%股权。,20231013,14,-0.004310344827586077,0.025974025974025983,0.04856974105894207,0.01298701298701288,0.03213892603814594,0.3787878787878789,0.40015561722450665,0.5584415584415583,0.7460190501272987,True
603069.SH,20220528,终止,20240903,,,7.38,,80.0,募集配套资金用于1、支付现金对价；2、补充流动资金支付本次交易相关税费及中介机构费用。,20220513,15,0.05253940455341488,0.0998336106489186,0.07721002580340697,0.6098169717138104,0.534166556598098,2.6314475873544096,2.2955818417501175,1.3419301164725455,1.2250852478957066,True
688550.SH,20240511,董事会预案,,,,8.15,,80.0,1、OLED升华前材料及高端精细化学品产业基地项目;2、补充流动资金。,20240430,11,0.015748031496062742,0.03266888150609093,0.01849890748421945,-0.0202104097452932,-0.03549481351256478,-0.11987818383167204,-0.10443324045623203,-0.22635208656956085,-0.16033039351702705,True
002715.SZ,20240427,终止,20240718,,,,,80.0,募集配套资金1、用于支付本次交易的现金对价、支付中介机构费用、补充上市公司流动资金或偿还债务等。,20240412,15,0.05213270142180115,-0.10010010010010018,-0.12714866905785305,-0.21871871871871884,-0.2459410718027093,-0.32682682682682684,-0.3466354683087274,-0.35035035035035034,-0.3204795672042827,True
688536.SH,20230610,实施完成,,20250723,20250805,3.83,3.83,80.0,募集配套资金用于1、支付本次交易的现金对价及中介机构费用。,20230526,15,0.007501775568181879,0.08824954839846666,0.08274573504759064,0.020002643521169983,0.0010473322359010329,0.033176190685993756,0.030333659835015236,-0.17936291139798233,-0.16423870675037366,True
600725.SH,20241221,董事会预案,,,,,,80.0,1、购买红河发电100%股权。,20241206,15,-0.005319148936170137,0.09893048128342241,0.11625076947320445,0.07486631016042766,0.07611006821838373,-0.15240641711229952,-0.11068510881733828,-0.09358288770053469,-0.0844110385777016,True
603160.SH,20241207,终止,20250304,,,,,80.0,募集配套资金用于1、用于配套支付本次交易的现金对价、相关税费、中介机构费用标的公司项目建设以及补充上市公司或标的公司流动,20241122,15,-0.027926322043969165,0.09999999999999987,0.05624526988603762,0.06234718826405872,0.0232949431320828,-0.10183374083129593,-0.0849541942951002,-0.042298288508557436,-0.07421483673831941,True
300757.SZ,20230826,实施完成,,20250521,20250612,3.84,3.84,80.0,募集配套资金1、拟用于支付本次交易的现金对价。,20230811,15,-0.03391279566828176,-0.08097345132743361,-0.05409886849228318,-0.01327433628318575,0.004361657688021214,-0.03539823008849541,-0.017902173670216404,0.0927728613569323,0.14956078524415894,True
