ts_code,t0,final_stage,terminate_date,apply_date,list_date,raise_plan_yi,raise_act_yi,price_ratio,purpose,days,ret,ex
002936.SZ,20190718,实施完成,,20201105,20201127,60.0,46.4,80.0,用于补充本行的核心一级资本,16,0.03287671232876721,
601375.SH,20190419,实施完成,,20200716,20200730,52.5,36.45,80.0,1、发展资本中介业务;2、发展投资与交易业务;3、对境内外全资子公司进行增资;4、用于信息系统建设及合规风控投入;5、补,10,-0.04584040747028839,
002797.SZ,20190425,实施完成,,20200701,20200722,60.0,42.0,80.0,1、扩大投资与交易业务规模；2、扩大信用业务规模；3、偿还债务；4、增加对子公司的投入；5、其他运营资金安排。,15,0.5310734463276834,
300680.SZ,20191126,实施完成,,20200923,20201023,2.3,2.3,80.0,1、新能源汽车驱动电机马达铁芯年产120万套;2、年产9万套天然气喷射气轨总成项目;3、补充流动资金。,16,0.005001923816852827,
603588.SH,20191105,实施完成,,20200806,20200826,1.7,1.7,80.0,募集配套资金用于1、支付交易对方现金对价；2、补充上市公司流动资金；3、支付中介机构费用和其他相关费用。,14,0.1022938623682581,
600150.SH,20190405,实施完成,,20200721,20200730,38.67,38.67,,募集配套资金用于1、广船国际中小型豪华客滚船能力建设项目;2、广船国际智能制造项目;3、广船国际绿色发展建设项目;4、数,7,0.01737451737451745,
601066.SH,20190122,实施完成,,20201208,20201228,38.84,38.84,80.0,1、发展资本中介业务;2、发展投资交易业务;3、信息系统建设;4、增资子公司;5、其他运营资金安排。,14,-0.08179481187193272,
603659.SH,20200327,实施完成,,20201118,20201204,45.91,45.91,80.0,1、年产5万吨高性能锂离子电池负极材料建设项目;2、收购山东兴丰49%股权;3、年产5万吨锂离子电池负极材料石墨化项目;,12,-0.045835294117647085,
603520.SH,20191130,实施完成,,20200716,20200804,6.72,6.72,80.0,1、年产1500吨碘化物及研发质检中心项目；2、年产300吨碘佛醇、5吨钆贝葡胺造影剂原料药项目；3、年产195吨定制医,13,-0.046122448979591835,
600745.SH,20200326,实施完成,,20200713,20200727,58.0,58.0,80.0,募集配套资金用于1、安世中国先进封测平台及工艺升级项目;2、云硅智谷4G/5G半导体通信模组封测和终端研发及产业化项目(,10,-0.1895757575757575,
603259.SH,20200325,实施完成,,20200902,20200923,65.28,65.28,80.0,1、无锡合全药业新药制剂开发服务及制剂生产一期项目;2、合全药业全球研发中心及配套项目;3、常州合全新药生产和研发中心项,15,-0.10819910819910816,
300721.SZ,20200325,实施完成,,20201228,20210121,1.74,1.62,80.0,用于年产15万吨环氧丙烷项目,17,0.22388748908318856,
002922.SZ,20200325,实施完成,,20200916,20201102,4.79,4.79,80.0,用于光伏发电并网设备智能制造项目、偿还银行贷款及补充流动资金,27,0.09283276450511946,
002812.SZ,20200324,实施完成,,20200811,20200904,50.0,50.0,80.0,1、江西省通瑞新能源科技发展有限公司锂离子电池隔膜一期扩建项目；2、无锡恩捷新材料产业基地二期扩建；3、补充流动资金。,18,0.047932674716428814,
600556.SH,20200324,实施完成,,20200827,20200916,21.2,21.2,80.0,1、新媒体商业大数据平台建设项目;2、WEIQ新媒体营销云平台升级项目;3、补充流动资金。,14,-0.08015451472718493,
002891.SZ,20200321,实施完成,,20200924,20201030,6.51,6.51,80.0,1、年产6万吨宠物干粮项目;2、年产2万吨宠物湿粮新西兰项目;3、营销中心建设及营销渠道智能化升级项目;4、补充流动资金,20,0.22794959908361978,
300620.SZ,20200320,实施完成,,20201125,20201218,7.1,7.1,80.0,用于铌酸锂高速调制器芯片研发及产业化项目、补充流动资金,17,-0.06492942453854489,
002254.SZ,20191209,实施完成,,20201016,20201105,5.0,5.0,80.0,"募集配套资金用于1、年产3,000吨高性能芳纶纸基材料产业化项目;2、偿还银行贷款;3、补充流动资金。",14,-0.04867529266789905,
600133.SH,20180605,实施完成,,20200428,20200522,2.2,2.2,80.0,募集配套资金用于支付本次交易现金对价及支付本次交易中介机构费用,15,0.03770491803278708,
300394.SZ,20200318,实施完成,,20210108,20210204,7.86,7.86,80.0,用于面向5G及数据中心的高速光引擎建设项目,19,-0.14418981950922727,-0.12751062549471204
300550.SZ,20200224,实施完成,,20200925,20201030,5.07,5.07,80.0,用于基于物联网及大数据技术的智慧医院一体化建设项目、补充流动资金,19,0.0013015184381777178,
603076.SH,20200316,实施完成,,20210209,20210309,4.18,4.18,80.0,1、当日鲜精酿(啤酒工坊)项目;2、鲜啤酒售卖机运营项目。,15,-0.06436827421283375,0.0036455991098927054
603881.SH,20200314,实施完成,,20200907,20200924,17.34,16.92,80.0,1、JN13-B云计算数据中心项目;2、ZH13-A云计算数据中心项目;3、云创互通云计算数据中心项目;4、偿还银行借款,13,-0.062151898734177036,
600566.SH,20200313,实施完成,,20200924,20201026,14.05,14.05,80.0,1、年产7.2亿袋小儿豉翘清热颗粒项目;2、中药提取车间五项目;3、原料六车间建设项目;4、产品研发项目;5、数字化经营,16,0.003167420814479849,
002243.SZ,20181207,实施完成,,20200519,20200612,5.0,5.0,80.0,募集配套资金用于补充上市公司流动资金、标的公司募投项目建设、支付中介机构费用及其他相关费用,18,0.027365129007036915,
603186.SH,20190427,实施完成,,20200513,20200527,6.5,6.5,80.0,1、年产650万平米高频高速覆铜板青山湖制造基地二期项目；2、补充流动资金。,10,-0.2453333333333333,
002863.SZ,20191126,实施完成,,20201111,20201215,6.0,6.0,80.0,1、年产300万件轻量化铝合金汽车轮毂智能制造项目;2、偿还银行贷款。,24,-0.17699115044247793,
603232.SH,20191224,实施完成,,20200817,20200831,6.45,6.45,80.0,1、下一代数字信任产品研发与产业化项目;2、智联网安全技术研发与产业化项目;3、补充流动资金。,10,0.06412930135557882,
300192.SZ,20190625,实施完成,,20200420,20200512,3.0,3.0,80.0,"募集配套资金用于支付本次交易的现金对价及重组相关费用,并用于上市公司偿还银行贷款。",13,0.0908543922984355,
600278.SH,20190520,实施完成,,20201130,20201214,13.5,12.58,80.0,募集配套资金用于1、支付本次交易现金对价;2、埃塞俄比亚服装加工基地项目;3、用于补充上市公司和标的资产流动资金、偿还债,10,-0.08617234468937884,
002410.SZ,20191029,实施完成,,20200527,20200622,27.0,27.0,80.0,1、造价大数据及AI应用项目;2、数字项目集成管理平台项目;3、BIMDeco装饰一体化平台项目;4、BIM三维图形平台,18,0.2470249520153549,
300738.SZ,20191120,实施完成,,20201020,20201119,4.8,4.8,80.0,用于廊坊讯云数据中心二期项目、补充流动资金及偿还银行贷款,22,-0.09748700173310243,
