ts_code,t0,final_stage,terminate_date,apply_date,list_date,raise_plan_yi,raise_act_yi,price_ratio,purpose,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60,suspended
300837.SZ,20210323,监管审批,,,,0.7,,80.0,用于建筑垃圾资源回收利用设备生产基地建设项目(一期),20210323,0,-0.11204188481675381,-0.06682389937106925,-0.05450514337482282,-0.11399371069182396,-0.12557100284412237,-0.08981918238993714,-0.10591631628490594,-0.16103125000000007,-0.19544059739214914,
600586.SH,20210210,监管审批,,,,14.0,,80.0,用于宁夏太阳能光伏轻质面板项目、马来西亚三期(太阳能电池封装玻璃)项目,20210210,0,-0.08857142857142852,0.10031347962382431,0.0942453987971088,0.07680250783699072,0.10429845435420537,0.006269592476489061,0.06746468677206474,0.10344827586206895,0.14286882811363366,
002256.SZ,20210125,董事会预案,,,,5.73,,80.0,用于支付永晟新能源股权收益权回购价款、补充流动资金,20210125,0,0.05384615384615388,-0.051094890510948954,-0.036524314926872026,0.05109489051094873,0.08676460555291698,0.007299270072992359,0.027958720023785633,0.2700729927007297,0.33708013952752514,
600966.SH,20210116,董事会预案,,,,50.0,,80.0,用于1、绿色环保能源综合利用项目;2、数字化转型项目;3、高档包装纸板5号机、6号机生产线改造项目;4、化机浆配套废液综,20210115,1,0.02586206896551735,-0.09971988795518205,-0.10719152276924493,-0.12717086834733904,-0.1369407961341903,0.05826330532212887,0.02110260103314099,-0.07058823529411773,-0.04684766159095055,
000752.SZ,20210616,董事会预案,,,,3.14,,80.0,用于偿还公司债务,20210616,0,0.05033557046979875,0.015974440894568787,0.013878001918943506,0.23482428115015974,0.21824184909057798,0.07507987220447299,0.07198065113519903,-0.07987220447284349,-0.11914334395415727,
300710.SZ,20210908,监管审批,,,,4.5,,80.0,用于补充流动资金,20210908,0,0.19994004796163067,0.060704471646265246,0.05555103040087905,0.18536097926555084,0.19150895071819796,0.3634773919560328,0.402721172306473,0.43067699225580824,0.43412597800638353,
300461.SZ,20210817,监管审批,,,,3.5,,80.0,1、高端智能装备生产基地改扩建项目；2、新能源智能制造设备创新中心项目；3、补充流动资金。,20210817,0,-0.03973214285714277,-0.020455602045560184,-0.031222652155048936,0.07484890748489081,0.05420656130798607,0.24593212459321268,0.17258132808109594,-0.0683403068340307,-0.08785215049755579,
603377.SH,20211204,监管审批,,,,15.7,,80.0,1、航培飞机及模拟器综合配置中心建设项目；2、智能驾驶培训系统升级改造及信息化建设项目；3、补充流动资金及偿还银行贷款。,20211203,1,-0.0035211267605633756,-0.030624263839811428,-0.025728888231915104,-0.025912838633686652,-0.041565752251870314,0.05653710247349841,0.04714866855729549,-0.11542991755005882,-0.05390940038381342,
000626.SZ,20210513,监管审批,,,,4.6,,80.0,1、收购凯立生物85.1166%股权;2、收购辽宁微科100%股权;3、补充流动资金。,20210513,0,0.06906558328496826,0.0005428881650380024,-0.01689738929566953,-0.034744842562432154,-0.05605078650710227,0.02062975027144409,-0.03062219452770043,0.3507057546145491,0.33949946266648023,
603779.SH,20211029,监管审批,,,,4.28,,80.0,1、社交新零售体系建设项目；2、补充流动资金。,20211029,0,0.05839416058394176,-0.009655172413793323,-0.008857024467252006,0.015172413793103523,0.03138706179817552,-0.05241379310344829,-0.05686800123863145,0.02896551724137919,0.03574851628016673,
688557.SH,20220331,监管审批,,,,3.0,,80.0,用于公司主营业务相关项目及补充流动资金,20220331,0,0.026241799437675573,0.05022831050228316,0.040466166673549075,0.028310502283105166,0.055933519291282874,-0.0736681887366818,-0.017973935514283945,-0.011567732115677298,-0.05108427987052466,
688505.SH,20220329,监管审批,,,,3.0,,80.0,用于公司主营业务相关项目及补充流动资金,20220329,0,0.014505119453924742,0.005046257359125228,-0.014231542300406463,-0.010092514718250567,-0.020110514747475494,-0.2262405382674516,-0.16683212490557586,-0.1488645920941969,-0.18876340201601982,
300087.SZ,20220329,监管审批,,,,3.0,,80.0,用于合理合法使用,20220329,0,0.03792415169660668,-0.035769230769230775,-0.05426414825057102,-0.03538461538461546,-0.04514665587319433,-0.18815936412008127,-0.1258271194554038,-0.0350036129540825,-0.08023990210897114,
300011.SZ,20220329,监管审批,,,,3.0,,80.0,用于合理合法使用,20220329,0,-0.013850415512465353,0.00983146067415741,-0.0095381240053789,-0.008426966292134908,-0.018461821900724096,-0.2373595505617978,-0.17880484292014576,-0.1530898876404494,-0.19279062771075695,
300650.SZ,20220325,监管审批,,,,3.0,,80.0,用于合理合法使用,20220325,0,-0.04430140098447555,-0.010301109350237758,-0.010997792743834611,0.06299524564183834,0.04017378215378509,-0.3360774539108107,-0.2611351495875043,-0.22395133302573778,-0.2622912492643087,
300765.SZ,20220318,监管审批,,,,3.0,,80.0,用于合理合法使用,20220318,0,0.0026578073089702503,0.03313452617627566,0.03230473168897885,0.018555334658714173,0.030868565072524223,-0.1027170311464548,-0.0866920215745649,-0.07726600802016836,-0.09517774982340088,
301007.SZ,20220316,监管审批,,,,3.0,,80.0,用于主营业务相关项目建设及补充流动资金,20220316,0,0.011261261261261257,0.02505567928730512,0.010920564362252305,0.05456570155901996,0.02222228973876339,-0.12082405345211589,-0.13192160584218748,-0.1934075723830736,-0.22156115421285005,
688018.SH,20220311,监管审批,,,,,,80.0,1、公司主营业务相关项目;2、补充流动资金。,20220311,0,0.029580341260952547,-0.06897875607883275,-0.0440784440915325,-0.1476836447402099,-0.13230131565906744,-0.24507294599436902,-0.22242106645588033,-0.3045394749024837,-0.2929620493679943,
