ts_code,t0,final_stage,terminate_date,apply_date,list_date,raise_plan_yi,raise_act_yi,price_ratio,purpose,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60,suspended
300566.SZ,20210331,实施完成,,20211203,20211224,6.98,6.98,80.0,1、光学膜生产基地建设项目;2、太阳能封装胶膜生产基地建设项目;3、补充流动资金。,20210331,0,-0.018651051832574317,-0.037569060773480656,-0.044349301940810215,0.05502762430939234,0.04271488073301177,0.009944751381215644,0.0003566588250949465,-0.07027836589221781,-0.10892674942801306,
002438.SZ,20210330,实施完成,,20211222,20220121,3.71,3.7,80.0,用于1、乏燃料后处理关键设备研发及产业化(二期)项目;2、年产1万吨大型特种法兰研制及产业化建设项目;3、补充流动资金。,20210330,0,-0.023502653525397932,0.0,0.004289796527307432,0.028726708074534146,0.02194199847140821,-0.0007763975155280489,-0.000889613642930942,-0.1340314403450391,-0.16226582043535887,
600419.SH,20210329,实施完成,,20211206,20211230,5.67,5.67,80.0,"1、10,000头规模化奶牛示范牧场建设项目;2、补充流动资金。",20210329,0,-0.07697325505544683,0.009187279151943395,0.0029450893624527463,0.007067137809187107,-0.006716655219362266,-0.022614840989399365,-0.02469171387629343,-0.062210020499336105,-0.10669620349759878,
300687.SZ,20210324,实施完成,,20211117,20211210,6.5,6.5,80.0,用于基于共享技术中台的企业数字化解决方案升级项目,20210324,0,0.009040880503144555,0.04479937670432421,0.045876949149647794,0.14647448383326833,0.12154221961265832,0.10790806388780672,0.07655730970189678,0.3206559282424879,0.24690250933255897,
600597.SH,20210317,实施完成,,20211202,20211220,19.3,19.3,80.0,1、用于补充流动资金；2、用于奶源牧场项目。,20210317,0,-0.004174120453190211,0.026946107784431073,0.021751517369278384,0.05808383233532943,0.08274906034612028,0.10958083832335341,0.12478120502290313,-0.09695029673770117,-0.11563030604977309,
603129.SH,20210316,实施完成,,20210902,20210929,17.27,17.27,80.0,1、动力运动装备扩产及产线智能化改造项目;2、研发中心升级改造项目;3、补充流动资金。,20210316,0,-0.07809210526315791,0.035467066295582717,0.03582243466523716,-0.07578676942838791,-0.06624405877743123,0.09041604224648547,0.09999416771458347,0.006208520659387817,-0.02486293197405065,
605358.SH,20210313,实施完成,,20210927,20211018,52.0,52.0,80.0,1、年产180万片集成电路用12英寸硅片;2、年产72万片6英寸功率半导体芯片技术改造项目;3、年产240万片6英寸硅外,20210312,1,-0.038002296211251285,-0.08557107053347657,-0.07671217209544945,-0.1299677765843179,-0.11759592182942091,-0.0026256116481682135,0.009101680335989126,0.13617376775271506,0.08652713959528158,
600155.SH,20210308,实施完成,,20221027,20221111,80.0,30.27,80.0,1、证券自营业务;2、信用交易业务;3、股权投资业务;4、资产管理业务;5、信息系统建设;6、偿还债务。,20210308,0,-0.030164533820840944,-0.01979264844486328,-0.0016660494132687553,-0.027332704995287394,-0.026915048666860897,-0.032987747408105506,-0.05007742653845415,0.025447690857681504,-0.023209108034957016,
603883.SH,20210304,实施完成,,20220121,20220210,17.4,17.4,80.0,1、新建连锁药店项目；2、华东医药产品分拣加工项目；3、企业数字化平台及新零售建设项目；4、补充流动资金。,20210304,0,-0.04702329594478005,-0.000603591368643297,-0.00017412324549215263,-0.051908857703334865,-0.03351981429208617,0.0537196318092652,0.0650158182501741,-0.14290025652633176,-0.16521361284977387,
603290.SH,20210303,实施完成,,20211028,20211112,35.0,35.0,80.0,1、高压特色工艺功率芯片研发及产业化项目;2、SiC芯片研发及产业化项目;3、功率半导体模块生产线自动化改造项目;4、补,20210303,0,-0.05028379566711971,-0.07744107744107742,-0.058109583703251366,-0.25930134680134675,-0.210954226623155,-0.2849326599326599,-0.25688746311754407,-0.01711770062568463,-0.03008173511455292,
