ts_code,t0,final_stage,terminate_date,apply_date,list_date,raise_plan_yi,raise_act_yi,price_ratio,purpose,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60,suspended
300566.SZ,20210331,实施完成,,20211203,20211224,6.98,6.98,80.0,1、光学膜生产基地建设项目;2、太阳能封装胶膜生产基地建设项目;3、补充流动资金。,20210331,0,-0.018651051832574317,-0.037569060773480656,-0.044349301940810215,0.05502762430939234,0.04271488073301177,0.009944751381215644,0.0003566588250949465,-0.07027836589221781,-0.10892674942801306,
002438.SZ,20210330,实施完成,,20211222,20220121,3.71,3.7,80.0,用于1、乏燃料后处理关键设备研发及产业化(二期)项目;2、年产1万吨大型特种法兰研制及产业化建设项目;3、补充流动资金。,20210330,0,-0.023502653525397932,0.0,0.004289796527307432,0.028726708074534146,0.02194199847140821,-0.0007763975155280489,-0.000889613642930942,-0.1340314403450391,-0.16226582043535887,
600419.SH,20210329,实施完成,,20211206,20211230,5.67,5.67,80.0,"1、10,000头规模化奶牛示范牧场建设项目;2、补充流动资金。",20210329,0,-0.07697325505544683,0.009187279151943395,0.0029450893624527463,0.007067137809187107,-0.006716655219362266,-0.022614840989399365,-0.02469171387629343,-0.062210020499336105,-0.10669620349759878,
601727.SH,20210327,终止,20210512,,,50.0,,80.0,用于1、零碳能源电力技术研发项目;2、智慧城市关键平台及系统开发项目;3、星云智汇工业互联网平台升级及创新应用项目;4、,20210326,1,0.05340699815837935,-0.029720279720279796,-0.034513105305022274,-0.045454545454545414,-0.06355317109623937,-0.09440559440559437,-0.10041604620911138,-0.25349650349650354,-0.29265443664991175,
300687.SZ,20210324,实施完成,,20211117,20211210,6.5,6.5,80.0,用于基于共享技术中台的企业数字化解决方案升级项目,20210324,0,0.009040880503144555,0.04479937670432421,0.045876949149647794,0.14647448383326833,0.12154221961265832,0.10790806388780672,0.07655730970189678,0.3206559282424879,0.24690250933255897,
300837.SZ,20210323,监管审批,,,,0.7,,80.0,用于建筑垃圾资源回收利用设备生产基地建设项目(一期),20210323,0,-0.11204188481675381,-0.06682389937106925,-0.05450514337482282,-0.11399371069182396,-0.12557100284412237,-0.08981918238993714,-0.10591631628490594,-0.16103125000000007,-0.19544059739214914,
300101.SZ,20210323,终止,20211203,,,1.85,,80.0,1、北斗三号多功能核心芯片研发及产业化项目；2、补充流动资金。,20210323,0,-0.03936507936507938,-0.01586252478519501,-0.0028710332373913516,0.03701255783212143,0.023462092680232693,0.0786516853932584,0.05957503571017564,0.24917382683410416,0.19794038558767513,
600365.SH,20210323,终止,20220312,,,1.7,,80.0,1、企业管理信息化网络升级项目;2、品牌服务网络升级项目;3、电子商务网络营销平台升级项目;4、内容电商运营平台建设项目,20210323,0,0.051948051948051965,0.04938271604938271,0.06323550291027447,0.07407407407407396,0.060039332448848626,0.10288065843621408,0.08337550376196456,0.8230452674897117,0.7482751429520971,
600597.SH,20210317,实施完成,,20211202,20211220,19.3,19.3,80.0,1、用于补充流动资金；2、用于奶源牧场项目。,20210317,0,-0.004174120453190211,0.026946107784431073,0.021751517369278384,0.05808383233532943,0.08274906034612028,0.10958083832335341,0.12478120502290313,-0.09695029673770117,-0.11563030604977309,
603129.SH,20210316,实施完成,,20210902,20210929,17.27,17.27,80.0,1、动力运动装备扩产及产线智能化改造项目;2、研发中心升级改造项目;3、补充流动资金。,20210316,0,-0.07809210526315791,0.035467066295582717,0.03582243466523716,-0.07578676942838791,-0.06624405877743123,0.09041604224648547,0.09999416771458347,0.006208520659387817,-0.02486293197405065,
