ts_code,t0,final_stage,terminate_date,apply_date,list_date,raise_plan_yi,raise_act_yi,price_ratio,purpose,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60,suspended
601727.SH,20210327,终止,20210512,,,50.0,,80.0,用于1、零碳能源电力技术研发项目;2、智慧城市关键平台及系统开发项目;3、星云智汇工业互联网平台升级及创新应用项目;4、,20210326,1,0.05340699815837935,-0.029720279720279796,-0.034513105305022274,-0.045454545454545414,-0.06355317109623937,-0.09440559440559437,-0.10041604620911138,-0.25349650349650354,-0.29265443664991175,
603988.SH,20210327,终止,20220226,,,30.0,,80.0,募集配套资金用于标的资产项目建设及补充流动资金和偿还债务,20210312,15,0.04785894206549113,0.10016025641025661,0.10585494496181047,0.6105769230769231,0.5961024531024515,0.23798076923076938,0.24226614923919554,0.24018899723125076,0.1870812497583807,True
300101.SZ,20210323,终止,20211203,,,1.85,,80.0,1、北斗三号多功能核心芯片研发及产业化项目；2、补充流动资金。,20210323,0,-0.03936507936507938,-0.01586252478519501,-0.0028710332373913516,0.03701255783212143,0.023462092680232693,0.0786516853932584,0.05957503571017564,0.24917382683410416,0.19794038558767513,
600365.SH,20210323,终止,20220312,,,1.7,,80.0,1、企业管理信息化网络升级项目;2、品牌服务网络升级项目;3、电子商务网络营销平台升级项目;4、内容电商运营平台建设项目,20210323,0,0.051948051948051965,0.04938271604938271,0.06323550291027447,0.07407407407407396,0.060039332448848626,0.10288065843621408,0.08337550376196456,0.8230452674897117,0.7482751429520971,
002890.SZ,20210313,终止,20210712,,,10.0,,80.0,募集配套资金用于拟置入资产建设项目、补充流动资金,20210226,15,0.04945598417408492,0.0999057492931199,0.1285728365655292,0.1757775683317626,0.21183727583544631,0.12818096135721024,0.15995850131302736,0.22331246353395273,0.18883118639157837,True
603399.SH,20210311,终止,20210413,,,,,80.0,募集配套资金用于支付本次交易的现金对价、相关交易税费及中介机构费用、标的公司项目建设、补充上市公司和标的公司流动资金、偿,20210311,0,-0.020134228187919434,-0.08732876712328774,-0.0916227978998927,-0.148972602739726,-0.15542013278293776,-0.1952054794520548,-0.1984347309311717,-0.11643835616438358,-0.15446475681153593,
601011.SH,20210309,终止,20210424,,,15.77,,80.0,1、宝泰隆新材料股份有限公司一矿项目;2、宝泰隆新材料股份有限公司二矿项目;3、宝泰隆新材料股份有限公司三矿项目;4、补,20210309,0,-0.09185803757828814,0.020689655172413834,0.021162285453265595,0.04827586206896539,0.02168178056399106,-0.055172413793103336,-0.08784676382305667,-0.03218390804597693,-0.09678015747774127,
002893.SZ,20210309,终止,20220113,,,2.5,,80.0,用于迁西富龙热力有限责任公司迁西县区工业余热供暖技术改造项目、华通热力节能环保、智慧供热技术改造项目、偿还银行贷款,20210309,0,-0.06408544726301735,-0.058487874465049994,-0.058051907334334185,0.03708987161198274,0.010779571459504478,0.6718972895863056,0.6140791669451333,0.6176890156918688,0.5097174247776506,
300173.SZ,20210302,终止,20210731,,,10.02,,80.0,1、超业精密搬迁及新增产能项目;2、大宇精雕搬迁及技术改造项目;3、研发中心建设项目;4、补充流动性资金。,20210302,0,-0.024390243902439157,0.0,-0.019098441124162036,-0.07678571428571435,-0.03575470111814383,-0.11428571428571421,-0.10098348553306113,0.008928571428571619,-0.020898870767945943,
002735.SZ,20210225,终止,20220719,,,,,80.0,募集配套资金用于1、支付收购标的资产的现金对价;2、补充上市公司与标的公司流动资金和偿还债务等,20210225,0,0.007751937984495916,-0.03230769230769226,-0.011358861032475742,-0.007692307692307554,0.015406608828571144,0.10000000000000009,0.17242250731100972,0.028461538461538538,0.02608277410874482,
002270.SZ,20210225,终止,20210422,,,7.0,,80.0,用于偿还公司有息负债、补充流动资金,20210225,0,-0.03984063745019906,0.0269709543568466,0.049203063753969545,0.053941908713692976,0.0784755451612924,0.07468879668049788,0.14544484871200103,-0.018672199170124415,-0.02094194626685253,
300664.SZ,20210223,终止,20220228,,,6.0,,80.0,用于补充流动资金和偿还银行贷款,20210223,0,-0.015068493150684814,0.0055632823365785455,0.025955501821544047,0.08901251738525717,0.1286691414449357,0.08205841446453421,0.153375601570934,-0.03477051460361613,0.0036134303825201552,
600525.SH,20210210,终止,20220216,,,9.01,,80.0,1、消费类电子智能检测设备扩建项目;2、半导体贴装及检测设备扩建项目;3、研发中心建设项目;4、补充流动资金。,20210210,0,-0.0991596638655462,0.05597014925373123,0.050146615928972516,0.050373134328357994,0.07719421183738584,0.005597014925373012,0.06675120721320704,0.005597014925373012,0.04152184306461093,
002397.SZ,20210209,终止,20220223,,,5.0,,80.0,1、品牌升级渠道建设项目；2、高端洗护中心建设项目；3、蚕丝原料基地建设项目；4、补充流动资金。,20210209,0,0.0277777777777779,0.0,-0.01411703357073768,0.07567567567567579,0.06595286026069691,0.07567567567567579,0.12459683271844146,0.11621621621621614,0.14346565556043855,
600939.SH,20210206,终止,20210729,,,20.63,,80.0,1、北京至雄安新区高速公路河北段主体工程施工SG2段项目;2、庆市公共卫生医疗救治中心应急医院项目;3、奉节县高铁站换乘,20210205,1,0.0,0.012345679012345512,0.0019960113492167864,0.05555555555555558,-0.0015135630559360846,0.1358024691358024,0.15003017184951872,0.11111111111111094,0.13275213325013047,
002458.SZ,20210130,终止,20211009,,,15.7,,80.0,1、种猪养殖项目；2、饲料生产项目；3、种鸡孵化场项目；4、研发中心项目。,20210129,1,-0.028571428571428692,0.013725490196078605,0.007301101730217363,-0.034313725490195957,-0.03797715612039021,0.05098039215686301,0.04530306574993315,-0.027450980392156765,-0.0156415704754167,
300626.SZ,20210127,终止,20220219,,,1.0,,80.0,用于补充流动资金,20210127,0,-0.013333333333333197,-0.04422604422604426,-0.025639068768544937,-0.13022113022113024,-0.11636493867745734,-0.023341523341523396,-0.0243144671676383,-0.03562653562653573,-0.00830690334397377,
