ts_code,t0,final_stage,terminate_date,apply_date,list_date,raise_plan_yi,raise_act_yi,price_ratio,purpose,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60,suspended
002795.SZ,20210128,终止,20210128,,,6.04,,80.0,用于偿还银行贷款和补充流动资金,20210128,0,-0.06445993031358888,-0.008379888268156499,-0.0020861722765181945,0.020484171322160183,0.02145069786069853,0.17318435754189943,0.17374836472074007,-0.08472998137802612,-0.06924396059368931,
300147.SZ,20210510,终止,20210510,,,14.0,,80.0,1、汕尾医用防护系列产品生产基地建设项目一期;2、香雪抗病毒口服液产能扩增项目;3、德庆南药产业园建设项目;4、香雪精准,20210510,0,0.005610098176718203,0.001394700139469851,-0.0026362255009098057,0.13947001394700131,0.11043759771410877,0.12970711297071125,0.07586653490788664,0.12970711297071125,0.12315410732430188,
000697.SZ,20210104,终止,20210104,,,9.49,,80.0,用于偿还委托贷款本息、补充流动资金,20210104,0,0.0008841329715283397,0.0025684931506848585,-0.004738596579977328,-0.12071917808219179,-0.12782498658334418,-0.2919520547945206,-0.29242173236417335,-0.3159246575342466,-0.311998307212612,
600606.SH,20210427,终止,20210427,,,110.0,,80.0,用于武汉绿地国际金融城建设项目、合肥新都会项目、合肥紫峰绿地中央广场项目一期,20210427,0,-0.0212389380530974,0.02350813743218816,0.019227903268320468,0.06871609403254975,0.07613611395198783,0.04520795660036159,-0.0007053704185333576,-0.10372935276014672,-0.11014740617724639,
300355.SZ,20210427,终止,20210427,,,10.0,,80.0,用于生态环境治理及运营项目、补充流动资金项目,20210427,0,-0.027972027972028024,0.0,-0.004181924898619904,-0.043165467625899234,-0.03652223344100658,-0.033573141486810454,-0.07602581524857854,0.07928150580915005,0.07155294036108728,
603359.SH,20210130,终止,20210130,,,5.15,,80.0,用于补充流动性资金,20210129,1,-0.030079803560466467,0.028481012658227778,0.0219631124781694,-0.032911392405063467,-0.03658014293066614,0.2177215189873416,0.2111434680668618,0.03417721518987338,0.04673496026441426,
300199.SZ,20210429,终止,20210429,,,9.52,,80.0,用于补充流动资金及偿还银行贷款,20210429,0,0.08588957055214719,0.005649717514124353,0.013831997644148997,0.09604519774011311,0.10657168485163115,0.20150659133709992,0.151847237123808,-0.04143126177024481,-0.00912007165057227,
300052.SZ,20210224,终止,20210224,,,6.8,,80.0,用于宝腾互联乐山高新区数据中心项目,20210224,0,0.0072727272727273196,-0.026474127557160054,-0.032167456799717775,0.004813477737665384,0.0012108288756131902,-0.11672683513838755,-0.0650432210538,-0.05776173285198549,-0.062303277237300114,
300603.SZ,20210222,终止,20210222,,,7.0,,80.0,用于偿还银行贷款、补充流动资金,20210222,0,0.0607675906183367,-0.048241206030150585,-0.046647873374371485,-0.024120603015075126,0.0008974299550321696,-0.07537688442211055,-0.021940404303118166,-0.1417085427135678,-0.1033333368784165,
300109.SZ,20210311,终止,20210311,,,5.6,,90.0,募集配套资金用于个体化精准用药指导试剂研发项目等,20210311,0,0.12103174603174605,-0.017699115044247926,-0.02232074666792827,-0.017699115044247926,-0.025141195625454804,0.04690265486725664,0.04270194044835174,0.26901184026671254,0.21439657601137552,
600550.SH,20210203,终止,20210203,,,5.0,,90.0,1、超特高压变压器智能制造技术改造项目;2、补充流动资金。,20210203,0,-0.03147699757869249,-0.03749999999999998,-0.03325383556254913,-0.01750000000000007,-0.0545357293723161,0.0475000000000001,0.09728067163803056,0.03750000000000009,0.06024722958213058,
600702.SH,20210511,终止,20210511,,,25.0,,80.0,用于1、酿酒配套工程技术改造项目;2、营销体系建设项目;3、信息化建设项目;4、补充流动资金。,20210511,0,0.04997833309258981,0.019397441188609088,0.013242964843240612,0.07360022011280787,0.05246457733803345,0.49195212546430067,0.42982501654983696,0.29919762161517927,0.28993913793032533,
300159.SZ,20210201,终止,20210201,,,12.0,,80.0,用于偿还银行借款,20210201,0,-0.07124010554089699,-0.1420454545454547,-0.1489410960985027,-0.24147727272727282,-0.24731000863045893,-0.05397727272727282,-0.03078731360335385,-0.18465909090909094,-0.1640519558630561,
600367.SH,20210122,终止,20210122,,,2.8,,90.0,"1、扩建2万吨/年硫酸钡副产1万吨/年硫化钠项目;2、3万吨/年动力电池专用高纯硫酸锰项目;3、6,000吨/年高性能电",20210122,0,-0.012912482065997044,0.011627906976744207,0.006746369350625558,-0.04069767441860472,-0.006633781760704838,0.08284883720930236,0.11298806674965811,0.09447674418604657,0.1471413435825515,
600665.SH,20210630,终止,20210630,,,25.0,,90.0,用于苏州太湖颐景项目、苏州拾锦香都项目、苏州金山项目、苏州七里香都项目、天津一里项目,20210630,0,0.00940438871473348,-0.052795031055900665,-0.0521575225259896,-0.06211180124223603,-0.05221977231596442,-0.12484486201387146,-0.06506891871527709,0.0612888800204916,0.05486477986804994,
300489.SZ,20210312,终止,20210312,,,4.39,,80.0,用于红外光学与激光器件产业化项目,20210312,0,-0.045512547851978,-0.04188948306595375,-0.03260740166146869,-0.03698752228163993,-0.023293488680550367,-0.18894830659536543,-0.1794118274819212,0.160427807486631,0.10972136671411925,
300341.SZ,20211204,终止,20211204,,,7.4,,80.0,1、麦克奥迪中高端光学显微镜扩产及光电工业园建设项目；2、精准医疗诊断研发及产业化项目；3、补充流动资金。,20211203,1,-0.014814814814814836,-0.03571428571428581,-0.030844614864615316,-0.05827067669172947,-0.0734036220113029,0.09492481203007519,0.08519526328361926,0.05827067669172914,0.13187180861293224,
300509.SZ,20210814,终止,20210814,,,4.0,,80.0,1、干式杀菌智能灌装成套设备生产线建设项目；2、非饮料智能灌装成套设备生产线建设项目；3、企业工业互联网(服务)平台开发,20210813,1,0.011678832116788218,0.046176046176046315,0.04586499025107793,-0.017316017316017396,0.00819202592969126,-0.023088023088023046,-0.0723704584731355,-0.11255411255411252,-0.11393696902895978,
600126.SH,20210208,终止,20210208,,,22.54,,90.0,1、购买冶金物资100%股权;2、购买杭钢国贸99.50%股权;3、购买东菱商贸100%股权。,20210208,0,-0.023210831721469982,0.001980198019801982,-0.017773706549292556,0.11089108910891099,0.07734328713721328,0.21386138613861383,0.2537920625763088,0.1722772277227722,0.1864070195512033,
600105.SH,20210610,终止,20210610,,,6.0,,80.0,1、年产20万芯公里特种光纤项目;2、5G承载网光器件核心芯片研发基地建设项目;3、补充流动资金。,20210610,0,0.051470588235293935,-0.06293706293706303,-0.05742630245834246,-0.046620046620046596,-0.023425233292434622,-0.13053613053613045,-0.10912799307473653,-0.11655011655011649,-0.1093664112269288,
002329.SZ,20210116,终止,20210116,,,9.78,,80.0,用于1、年产20万吨云南高原特色乳制品智能工厂项目(一期);2、遵义乳制品加工基地建设项目;3、巴马益生菌产业化生产基地,20210115,1,-0.00462962962962965,0.011627906976743985,0.0032321708191638265,0.0,-0.011193402502907346,-0.05348837209302315,-0.08672493858252583,0.14883720930232558,0.17818271091539573,
603777.SH,20210626,终止,20210626,,,5.0,,80.0,用于全渠道营销网络建设项目、研发中心升级建设项目,20210625,1,0.0,0.009580838323353325,0.009913859237076439,-0.05808383233532932,-0.03431286359029051,-0.14251497005988023,-0.12870849066773726,-0.10778443113772451,-0.10936557333342745,
002426.SZ,20210526,终止,20210526,,,11.17,,80.0,1、笔记本电脑金属精密结构件扩产及智能化改造项目;2、中大尺寸玻璃及复合材料显示盖板扩产项目;3、苏州胜利研发中心建设项,20210526,0,-0.02076124567474047,0.02473498233215543,0.02033553837739177,0.20848056537102466,0.20721034879978562,0.15194346289752647,0.16056792222174043,-0.053003533568904526,-0.018080286016719516,
300237.SZ,20210122,终止,20210122,,,4.0,,80.0,用于偿还银行借款,20210122,0,-0.022556390977443552,-0.030769230769230882,-0.03544618405982514,-0.034615384615384714,-0.0003355157616118376,0.03461538461538449,0.06341211920233691,-0.007692307692307776,0.040056068297462444,
002416.SZ,20210122,终止,20210122,,,4.07,,80.0,用于补充公司流动资金,20210122,0,0.0028818443804035088,-0.09985632183908044,-0.10419990034610993,-0.24137931034482762,-0.21444142741536198,-0.34985632183908044,-0.3317606940127603,-0.3864942528735633,-0.35697326526784134,
300162.SZ,20210424,终止,20210424,,,3.8,,80.0,1、COB超小间距LED显示面板项目；2、补充流动资金。,20210423,1,-0.04029304029304037,0.20038167938931295,0.21189313736561366,0.17938931297709915,0.18873366813552095,0.3530534351145036,0.30817289806106496,0.7328244274809161,0.6840746853594677,
300500.SZ,20210428,终止,20210428,,,5.87,,80.0,1、公司总部大楼建设项目；2、补充流动资金及偿还银行贷款。,20210428,0,0.02530541012216392,-0.008510638297872353,-0.013598849726209727,-0.027234042553191506,-0.01898270651520384,0.0008510638297873907,-0.043000356885871116,1.0001820747271668,1.0450728136411649,
300386.SZ,20211108,终止,20211108,,,8.3,,80.0,用于下一代安全芯片、设备、系统的研发及产业化项目,20211108,0,-0.005970149253731405,0.012012012012011963,0.009596400890126366,0.06231231231231238,0.0518879914432111,0.0788288288288288,0.051574778887893746,0.1921921921921923,0.20807667569798505,
600759.SH,20210430,终止,20210430,,,13.6,,80.0,用于1、电池技术国际科创中心项目;2、高能量密度微型电池产业化项目;3、高倍率快充电池暨新能源汽车48V启停电源产业化项,20210430,0,-0.03535353535353536,0.03664921465968596,0.0383282617082108,0.17277486910994755,0.16739153728735445,0.293193717277487,0.23916657207878966,0.18848167539267013,0.20072012539992912,
