ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit
002043.SZ,20200131,20200123,完成,,7975554.0,62491709.97,8.5,7.68
300444.SZ,20200124,20200123,完成,,3523600.0,14996900.0,4.3,4.21
300270.SZ,20200124,20200122,完成,,3664942.0,30991017.0,9.25,
002188.SZ,20200123,,预案,20200320,,1.0,,
300098.SZ,20200123,,预案,,,84961258.39,5.276,5.2565
300582.SZ,20200123,,预案,,,,,
300098.SZ,20200123,,预案,,,3148401.701,5.2565,5.2565
300359.SZ,20200123,,预案,,,400000.0,4.0,4.0
300319.SZ,20200123,,预案,,,522264.0,3.76,3.76
002279.SZ,20200123,20200122,完成,,8294433.0,60092542.04,9.64,5.56
002279.SZ,20200123,20200121,完成,,7665833.0,,10.0,
002235.SZ,20200123,20200122,完成,,1158000.0,5940540.0,5.13,5.13
603798.SH,20200123,20200121,完成,,2000051.0,22544009.66,12.89,
002833.SZ,20200123,20200123,完成,,1800.0,60012.0,33.34,33.34
002517.SZ,20200122,,预案,20210121,,100000000.0,4.21,
600019.SH,20200122,,股东大会通过,,,339150.0,3.99,3.99
600019.SH,20200122,,股东大会通过,,,12193140.75,3.99,3.99
603887.SH,20200122,,股东大会通过,,,478240.0,12.2,12.2
300034.SZ,20200122,,股东大会通过,,,673463.0,6.23,6.23
002043.SZ,20200122,20200120,完成,,2547500.0,19981649.06,8.08,7.7
600673.SH,20200122,20200120,完成,,115787028.0,1008950900.0,11.53,
300702.SZ,20200122,20200117,完成,,15664.0,177983.77,11.3626,11.3626
400230,20200122,20200120,完成,,3206000.0,17424610.0,5.435,5.435
400230,20200122,20200120,完成,,756000.0,4108860.0,5.435,5.435
002304.SZ,20200122,20200121,完成,,288000.0,31739996.15,110.88,109.65
600098.SH,20200122,20200122,完成,,39690368.0,256257400.0,9.0,
600873.SH,20200122,20200121,完成,,45847603.0,201003000.0,5.5,
603998.SH,20200121,,预案,,,1852560.0,3.14,2.98
002020.SZ,20200121,,预案,20210205,,600000000.0,12.0,
603839.SH,20200121,,预案,,,1564975.944,8.4429,8.4429
300347.SZ,20200121,,预案,,,544726.35,26.55,26.55
600206.SH,20200121,,预案,,,346943.64,5.7441,5.7441
300002.SZ,20200121,,预案,20210120,,200000000.0,5.07,
300709.SZ,20200121,,股东大会通过,,,463270.0,36.47,23.41
000595.SZ,20200121,,股东大会通过,,,20738690.0,2.17,2.17
000778.SZ,20200121,20200117,完成,,38884600.0,162328100.0,4.23,
002674.SZ,20200121,20200120,完成,,129800.0,1375574.0,10.7,10.53
600160.SH,20200121,20200120,完成,,28114800.0,200417124.0,11.65,
300668.SZ,20200120,,预案,20200807,,50000000.0,25.0,
300371.SZ,20200120,,预案,,,432431.076,6.6857,6.6857
603636.SH,20200120,,预案,,,117289.5,7.8193,7.8193
300637.SZ,20200120,,预案,,,59091.9,6.33,5.31
300684.SZ,20200120,,股东大会通过,,,262800.0,10.95,10.95
300272.SZ,20200120,,股东大会通过,,,809100.0,3.625,3.625
002441.SZ,20200120,20200120,完成,,244430.0,1478801.5,6.05,6.05
300303.SZ,20200120,20200117,完成,,249840.0,,2.7611,2.32
300303.SZ,20200120,20200117,完成,,363500.0,,,
002035.SZ,20200120,20200117,完成,,3412800.0,10688940.0,4.7083,2.9667
300663.SZ,20200120,20200117,完成,,1770779.0,10868483.7435,6.1476,6.1343
600588.SH,20200118,,预案,,,,,
603896.SH,20200118,,预案,,,,24.14,16.94
603337.SH,20200118,,股东大会通过,,,,,
300308.SZ,20200118,20200116,完成,,602245.0,9306704.33,22.484,13.849
601222.SH,20200118,20200117,完成,,6500000.0,35646732.47,5.55,5.36
300628.SZ,20200117,,预案,,,1616340.0,28.78,15.27
603660.SH,20200117,,预案,,,869021.27,8.7245,8.7245
002236.SZ,20200117,,股东大会通过,,,3576907.0,8.75,8.17
600276.SH,20200117,,股东大会通过,,,11976845.46,26.1583,21.0282
000045.SZ,20200117,,股东大会通过,,,400527.0,5.73,5.73
300307.SZ,20200117,,股东大会通过,,,101968754.52,6.0,
603869.SH,20200117,20200115,完成,,6734687.0,100950438.19,22.36,
400116,20200117,20200115,完成,,3573200.0,20009946.0,13.5,
400219,20200117,20200121,完成,,30000.0,237690.0,7.923,7.923
603399.SH,20200117,20200121,完成,,2900000.0,28966300.0,10.372,9.927
603903.SH,20200116,,预案,,,,,
603883.SH,20200116,,股东大会通过,,,2755282.02,29.62,29.62
400145,20200116,,股东大会通过,,,15614642.53,8.54,6.45
002600.SZ,20200116,,股东大会通过,,,10997058.4,3.12,1.66
300183.SZ,20200116,,股东大会通过,,,1080254.0,10.22,10.22
002214.SZ,20200116,20200115,完成,,326000.0,3678540.0,11.3,11.25
002878.SZ,20200116,20200115,完成,,95673.0,1149162.93,12.11,11.28
002866.SZ,20200115,,预案,,,,,5.62
603386.SH,20200115,,预案,,,395560.0,8.99,8.99
603365.SH,20200115,20200114,完成,,2759300.0,44592724.0,26.0,
603505.SH,20200115,20200114,完成,,386153.0,8923009.59,23.19,22.97
300454.SZ,20200115,20200115,完成,,16410.0,796025.7,48.85,48.27
600477.SH,20200115,20200117,完成,,608400.0,971100.0,1.5962,1.5962
002537.SZ,20200114,,预案,,,28843740.0,5.1,5.1
002638.SZ,20200114,,股东大会通过,,,1.0,,
400185,20200114,,股东大会通过,,,,,
002131.SZ,20200114,,股东大会通过,,,,,
600513.SH,20200114,,股东大会通过,,,479780.0,4.172,4.172
300640.SZ,20200114,,股东大会通过,,,289755.0,,
000008.SZ,20200114,20200110,完成,,64417663.0,234980695.0,5.99,
002717.SZ,20200114,20200113,完成,,1438500.0,5797155.0,4.03,4.03
002717.SZ,20200114,20200113,完成,,270000.0,1088100.0,4.03,4.03
002472.SZ,20200114,20200113,完成,,13740277.0,74890860.26,5.9,
002063.SZ,20200114,20200113,完成,,392478.0,1957220.14,5.03,3.7
300659.SZ,20200114,20200113,完成,,66720.0,755953.0,12.39,9.7438
