ts_code,name,industry,float_date,ratio,share_wan,amount_yi,src
688702.SH,盛科通信,半导体,20260914,50.49,20700.8,624.13,推导36mo
920038.BJ,森合高科,化工原料,20260915,18.23,1905.1,7.0,已公告
301550.SZ,斯菱智驱,汽车配件,20260915,38.81,13013.5,116.5,推导36mo
920469.BJ,富恒新材,塑料,20260918,26.6,3749.8,2.2,推导36mo
301548.SZ,崇德科技,机械基件,20260920,66.45,5780.8,30.55,推导36mo
688716.SH,中研股份,化工原料,20260920,42.53,5175.3,13.26,推导36mo
920059.BJ,双英集团,汽车配件,20260921,27.64,4203.6,5.31,已公告
301500.SZ,飞南资源,环境保护,20260921,74.33,41703.2,99.88,推导36mo
920022.BJ,世昌股份,汽车配件,20260921,18.47,1114.0,2.1,已公告
603418.SH,友升股份,汽车配件,20260923,24.18,4668.4,21.52,已公告
301520.SZ,万邦医药,生物制药,20260925,64.91,6047.3,32.05,推导36mo
603276.SH,恒兴新材,化工原料,20260925,63.26,13136.9,21.58,推导36mo
920665.BJ,科强股份,橡胶,20260926,50.63,6580.9,5.59,推导36mo
920015.BJ,锦华新材,化工原料,20260928,71.22,9655.4,35.15,已公告
301558.SZ,三态股份,互联网,20260928,72.18,56936.9,36.44,推导36mo
301668.SZ,昊创瑞通,电气设备,20260928,21.88,2407.1,7.53,已公告
688719.SH,爱科赛博,电气设备,20260928,22.24,2566.3,13.83,推导36mo
301584.SZ,建发致新,医药商业,20260928,43.88,18487.7,36.07,已公告
920978.BJ,开特股份,汽车配件,20260928,43.93,7909.4,14.57,推导36mo
001285.SZ,瑞立科密,汽车配件,20260930,23.3,4197.8,17.45,已公告
301563.SZ,云汉芯城,元器件,20260930,41.09,3478.3,38.05,已公告
688657.SH,浩辰软件,软件服务,20261010,37.44,3572.6,11.28,推导36mo
301559.SZ,中集环科,专用机械,20261011,85.0,51000.0,65.53,推导36mo
920080.BJ,奥美森,专用机械,20261012,69.51,5769.4,11.83,已公告
920786.BJ,骑士乳业,乳制品,20261013,33.96,7100.2,5.43,推导36mo
920158.BJ,长江能科,专用机械,20261016,73.25,14621.7,11.89,已公告
301517.SZ,陕西华达,元器件,20261017,35.5,5369.3,19.89,推导36mo
603193.SH,润本股份,日用化工,20261017,74.46,30125.7,57.66,推导36mo
601026.SH,道生天合,电气设备,20261019,34.78,22932.1,32.47,已公告
920026.BJ,卓兆点胶,机械基件,20261019,24.62,2828.6,4.89,推导36mo
603273.SH,天元智能,专用机械,20261023,73.98,15937.5,22.66,推导36mo
301489.SZ,思泉新材,元器件,20261024,40.17,4671.3,56.06,推导36mo
920176.BJ,维琪科技,化工原料,20261027,19.97,1174.6,7.52,已公告
920693.BJ,阿为特,机械基件,20261027,49.64,3609.0,8.2,推导36mo
920020.BJ,泰凯英,汽车配件,20261028,73.64,16564.9,24.32,已公告
